Exhibit Animal_name Date Fecal_sample_ID DNA_sample_ID
Bonobo Kuno 2025-02-21 T001065 NA000347
Bonobo Luiza 2025-02-24 T001067 NA000349
Bonobo Joey 2025-02-25 T001068 NA000350
Bonobo Jasongo 2025-02-25 T001071 NA000352
Bonobo Yasa 2025-03-01 T001079 NA000360
Bonobo Yasa 2025-03-08 T001087 NA000335
Bonobo Sumai 2025-03-08 T001088 NA000336
Bonobo Sumai 2025-03-11 T001093 NA000364
Bonobo Sumai 2025-03-12 T001094 NA000395
Bonobo Sumai 2025-03-12 T001094 NA000365
Bonobo Luiza 2025-03-14 T001096 NA000397
Bonobo Luiza 2025-03-14 T001096 NA000367
Bonobo Gerda 2025-03-14 T001097 NA000398
Bonobo Gerda 2025-03-14 T001097 NA000368
Bonobo Sumai 2025-03-24 T001159 NA000400
Bonobo Sumai 2025-03-24 T001159 NA000370
Bonobo Gerda 2025-03-29 T001162 NA000372
Bonobo Gerda 2025-03-30 T001164 NA000374
Bonobo Kuno 2025-04-03 T001168 NA000402
Bonobo Kuno 2025-04-03 T001168 NA000378
