name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Roseburia hominis	301301	S	129150	23584	152734	0.01683
Roseburia intestinalis	166486	S	79851	6238	86089	0.00948
Roseburia rectibacter	2763062	S	21098	0	21098	0.00232
Simiaoa sunii	2763672	S	231813	0	231813	0.02554
Dorea longicatena	88431	S	136684	0	136684	0.01506
Dorea formicigenerans	39486	S	46623	0	46623	0.00514
Wujia chipingensis	2763670	S	122532	0	122532	0.01350
Blautia obeum	40520	S	40137	1308	41445	0.00457
Blautia wexlerae	418240	S	17000	0	17000	0.00187
Blautia sp. SC05B48	2479767	S	10995	1145	12140	0.00134
Blautia sp. NBRC 113351	2877527	S	4371	0	4371	0.00048
Blautia producta	33035	S	6307	76	6383	0.00070
Blautia argi	1912897	S	6181	398	6579	0.00072
Blautia pseudococcoides	1796616	S	6066	101393	107459	0.01184
Blautia hansenii	1322	S	5540	866	6406	0.00071
Blautia liquoris	2779518	S	3270	18	3288	0.00036
Blautia massiliensis (ex Durand et al. 2017)	1737424	S	141	0	141	0.00002
[Ruminococcus] gnavus	33038	S	26043	2109	28152	0.00310
[Ruminococcus] torques	33039	S	20534	3054	23588	0.00260
[Ruminococcus] lactaris	46228	S	13223	0	13223	0.00146
Coprococcus comes	410072	S	23764	4083	27847	0.00307
Coprococcus catus	116085	S	13503	2907	16410	0.00181
Coprococcus eutactus	33043	S	6851	0	6851	0.00075
Coprococcus sp. ART55/1	751585	S	5689	973	6662	0.00073
Anaerobutyricum hallii	39488	S	38466	4936	43402	0.00478
Butyrivibrio crossotus	45851	S	19979	0	19979	0.00220
Butyrivibrio fibrisolvens	831	S	4865	266	5131	0.00057
Butyrivibrio proteoclasticus	43305	S	3867	491	4358	0.00048
Butyrivibrio hungatei	185008	S	3487	529	4016	0.00044
Agathobacter rectalis	39491	S	26989	0	26989	0.00297
Enterocloster asparagiformis	333367	S	8386	0	8386	0.00092
Enterocloster bolteae	208479	S	6787	876	7663	0.00084
Enterocloster clostridioformis	1531	S	5989	7815	13804	0.00152
[Clostridium] scindens	29347	S	10688	726	11414	0.00126
Lachnoclostridium phocaeense	1871021	S	5366	334	5700	0.00063
[Clostridium] hylemonae	89153	S	4652	7	4659	0.00051
Lachnoclostridium phytofermentans	66219	S	2489	7	2496	0.00027
Lachnospira eligens	39485	S	22026	0	22026	0.00243
Anaerostipes hadrus	649756	S	13344	983	14327	0.00158
Anaerostipes caccae	105841	S	3028	229	3257	0.00036
Anaerostipes rhamnosivorans	1229621	S	2737	296	3033	0.00033
Lacrimispora saccharolytica	84030	S	4060	358	4418	0.00049
Lacrimispora xylanolytica	29375	S	3592	0	3592	0.00040
Lacrimispora sphenoides	29370	S	2983	220	3203	0.00035
Anaerocolumna chitinilytica	1727145	S	2886	0	2886	0.00032
Anaerocolumna sedimenticola	2696063	S	2573	401	2974	0.00033
Anaerocolumna sp. AGMB13025	3039116	S	2334	0	2334	0.00026
Anaerocolumna cellulosilytica	433286	S	1520	226	1746	0.00019
Marvinbryantia formatexigens	168384	S	8405	0	8405	0.00093
Kineothrix sp. MB12-C1	3070215	S	6930	0	6930	0.00076
Chordicoccus furentiruminis	2709410	S	5885	0	5885	0.00065
Pseudobutyrivibrio xylanivorans	185007	S	5148	132	5280	0.00058
Sellimonas intestinalis	1653434	S	4940	0	4940	0.00054
Lachnoanaerobaculum gingivalis	2490855	S	2341	0	2341	0.00026
Lachnoanaerobaculum umeaense	617123	S	1576	24	1600	0.00018
Novisyntrophococcus fermenticellae	2068655	S	4424	0	4424	0.00049
Wansuia hejianensis	2763667	S	3947	0	3947	0.00043
Qiania dongpingensis	2763669	S	3465	0	3465	0.00038
Stomatobaculum sp. F0698	3059030	S	3253	0	3253	0.00036
Anaeromicropila herbilytica	2785025	S	2891	0	2891	0.00032
Herbinix luporum	1679721	S	1441	113	1554	0.00017
Anaerotignum propionicum	28446	S	1104	7	1111	0.00012
Anaeropeptidivorans aminofermentans	2934315	S	960	0	960	0.00011
[Clostridium] colinum	36835	S	422	0	422	0.00005
Epulopiscium sp. 'N.t. morphotype B'	420336	S	396	0	396	0.00004
Faecalibacterium prausnitzii	853	S	434653	15047	449700	0.04954
Faecalibacterium sp. I3-3-89	2929493	S	80769	0	80769	0.00890
Faecalibacterium sp. HTF-F	2929491	S	65144	0	65144	0.00718
Faecalibacterium sp. I4-3-84	2929495	S	30072	0	30072	0.00331
Faecalibacterium sp. I4-1-79	2929494	S	27252	0	27252	0.00300
Faecalibacterium sp. I3-3-33	2929492	S	25673	0	25673	0.00283
Faecalibacterium sp. I2-3-92	2929490	S	17170	0	17170	0.00189
Faecalibacterium sp. IP-3-29	2929489	S	11408	0	11408	0.00126
Faecalibacterium sp. IP-1-18	2929488	S	6668	0	6668	0.00073
Faecalibacterium duncaniae	411483	S	24993	327647	352640	0.03885
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	69818	1748	71566	0.00788
Ruminococcus champanellensis	1161942	S	22938	385	23323	0.00257
Ruminococcus sp. SR1/5	657323	S	3853	0	3853	0.00042
Ruminococcus sp. FMB-CY1	2878202	S	12	0	12	0.00000
Ruminococcus albus	1264	S	7373	20	7393	0.00081
Ruminococcus gauvreauii	438033	S	4680	0	4680	0.00052
Ruminococcus bovis	2564099	S	2167	16	2183	0.00024
Vescimonas coprocola	2714355	S	32806	0	32806	0.00361
Vescimonas fastidiosa	2714353	S	25494	0	25494	0.00281
Dysosmobacter welbionis	2093857	S	32411	19949	52360	0.00577
Flavonifractor plautii	292800	S	24156	123	24279	0.00267
Ruthenibacterium lactatiformans	1550024	S	20537	234	20771	0.00229
Oscillibacter hominis	2763056	S	18579	239	18818	0.00207
Pusillibacter faecalis	2714358	S	17731	0	17731	0.00195
Lawsonibacter asaccharolyticus	2108523	S	16117	0	16117	0.00178
Subdoligranulum variabile	214851	S	10461	0	10461	0.00115
Anaerotruncus colihominis	169435	S	6476	0	6476	0.00071
Caproicibacterium lactatifermentans	2666138	S	2063	0	2063	0.00023
Caproicibacterium amylolyticum	2766537	S	2019	0	2019	0.00022
Caproicibacterium sp. BJN0003	2994078	S	1752	0	1752	0.00019
Acutalibacter muris	1796620	S	4528	5	4533	0.00050
Ethanoligenens harbinense	253239	S	3731	6	3737	0.00041
Solibaculum mannosilyticum	2780922	S	3397	0	3397	0.00037
Monoglobus pectinilyticus	1981510	S	3045	128	3173	0.00035
Caproicibacter fermentans	2576756	S	3000	0	3000	0.00033
Caproiciproducens sp. NJN-50	2507162	S	2622	12	2634	0.00029
Acetivibrio thermocellus	1515	S	971	19	990	0.00011
Acetivibrio clariflavus	288965	S	739	208	947	0.00010
Acetivibrio saccincola	1677857	S	436	135	571	0.00006
Thermocaproicibacter melissae	2966552	S	1948	0	1948	0.00021
Ruminiclostridium papyrosolvens	29362	S	683	0	683	0.00008
Ruminiclostridium herbifermentans	2488810	S	555	77	632	0.00007
Ruminiclostridium cellulolyticum	1521	S	490	53	543	0.00006
Petroclostridium sp. X23	3045146	S	1029	0	1029	0.00011
Pseudoclostridium thermosuccinogenes	84032	S	932	33	965	0.00011
Thermoclostridium stercorarium	1510	S	923	13	936	0.00010
Mageeibacillus indolicus	884684	S	473	38	511	0.00006
Fastidiosipila sanguinis	236753	S	378	11	389	0.00004
Clostridium sp. M62/1	411486	S	16206	0	16206	0.00179
Clostridium sp. SY8519	1042156	S	3808	62	3870	0.00043
Clostridium sp. MD294	97138	S	916	0	916	0.00010
Clostridium sp. BJN0001	2930219	S	806	0	806	0.00009
Clostridium sp. C1	1155388	S	781	0	781	0.00009
Clostridium sp. BNL1100	755731	S	556	1	557	0.00006
Clostridium sp. JN-1	2483110	S	492	111	603	0.00007
Clostridium sp. DL-VIII	641107	S	462	264	726	0.00008
Clostridium sp. JN-9	2507159	S	420	52	472	0.00005
Clostridium sp. 'deep sea'	2779445	S	244	0	244	0.00003
Clostridium sp. AWRP	2212991	S	166	37	203	0.00002
Clostridium sp. 001	1970093	S	133	0	133	0.00001
Clostridium sp. LQ25	2992805	S	27	0	27	0.00000
Clostridium sp. MF28	1702238	S	17	183	200	0.00002
Clostridium botulinum	1491	S	1705	844	2549	0.00028
Clostridium perfringens	1502	S	1382	152	1534	0.00017
Clostridium estertheticum	238834	S	1181	0	1181	0.00013
Clostridium cellulovorans	1493	S	1161	35	1196	0.00013
Clostridium cadaveris	1529	S	1137	0	1137	0.00013
Clostridium pasteurianum	1501	S	974	20	994	0.00011
Clostridium kluyveri	1534	S	865	11	876	0.00010
Clostridium sporogenes	1509	S	829	4174	5003	0.00055
Clostridium manihotivorum	2320868	S	766	33	799	0.00009
Clostridium saccharoperbutylacetonicum	36745	S	753	62	815	0.00009
Clostridium thermarum	1716543	S	747	96	843	0.00009
Clostridium bornimense	1216932	S	747	63	810	0.00009
Clostridium saccharobutylicum	169679	S	710	80	790	0.00009
Clostridium neonatale	137838	S	654	0	654	0.00007
Clostridium beijerinckii	1520	S	572	686	1258	0.00014
Clostridium felsineum	36839	S	527	0	527	0.00006
Clostridium gelidum	704125	S	506	0	506	0.00006
Clostridium baratii	1561	S	493	60	553	0.00006
Clostridium intestinale	36845	S	481	19	500	0.00006
Clostridium novyi	1542	S	474	174	648	0.00007
Clostridium tyrobutyricum	1519	S	467	14	481	0.00005
Clostridium taeniosporum	394958	S	463	44	507	0.00006
Clostridium chauvoei	46867	S	458	67	525	0.00006
Clostridium argentinense	29341	S	434	19	453	0.00005
Clostridium butyricum	1492	S	401	35	436	0.00005
Clostridium tagluense	360422	S	391	0	391	0.00004
Clostridium aceticum	84022	S	389	18	407	0.00004
Clostridium fermenticellae	2068654	S	349	17	366	0.00004
Clostridium formicaceticum	1497	S	347	31	378	0.00004
Clostridium gasigenes	94869	S	339	13	352	0.00004
Clostridium isatidis	182773	S	334	50	384	0.00004
Clostridium acetobutylicum	1488	S	310	1	311	0.00003
Clostridium carboxidivorans	217159	S	265	35	300	0.00003
Clostridium tetani	1513	S	263	18	281	0.00003
Clostridium septicum	1504	S	226	31	257	0.00003
Clostridium cochlearium	1494	S	177	11	188	0.00002
Clostridium drakei	332101	S	167	99	266	0.00003
Clostridium scatologenes	1548	S	105	61	166	0.00002
Clostridium ljungdahlii	1538	S	73	383	456	0.00005
Clostridium diolis	223919	S	33	343	376	0.00004
Clostridium autoethanogenum	84023	S	27	173	200	0.00002
Hungatella hathewayi	154046	S	9790	4	9794	0.00108
Hungatella xylanolytica	384636	S	3368	0	3368	0.00037
Proteiniclasticum sp. QWL-01	3036945	S	2080	0	2080	0.00023
Crassaminicella indica	2855394	S	455	0	455	0.00005
Crassaminicella profunda	1286698	S	330	0	330	0.00004
Crassaminicella thermophila	2599308	S	322	51	373	0.00004
Caloramator sp. E03	2576307	S	476	9	485	0.00005
Caloramator sp. mosi_1	3023090	S	369	0	369	0.00004
Caloramator sp. Dgby_cultured_2	3029174	S	272	0	272	0.00003
Paraclostridium bifermentans	1490	S	850	141	991	0.00011
Alkaliphilus sp. B6464	2731219	S	395	0	395	0.00004
Alkaliphilus metalliredigens	208226	S	204	13	217	0.00002
Alkaliphilus oremlandii	461876	S	200	14	214	0.00002
Geosporobacter ferrireducens	1424294	S	634	66	700	0.00008
Oceanirhabdus sp. W0125-5	2999116	S	580	0	580	0.00006
Caminicella sporogenes	166485	S	445	0	445	0.00005
Hathewaya histolytica	1498	S	437	120	557	0.00006
Sarcina sp. JB2	2726954	S	418	154	572	0.00006
Candidatus Arthromitus sp. SFB-rat-Yit	1041504	S	162	252	414	0.00005
Serpentinicella alkaliphila	1734049	S	217	0	217	0.00002
Eubacterium sp. MSJ-33	2841528	S	34344	0	34344	0.00378
Eubacterium sp. c-25	2841037	S	4109	0	4109	0.00045
Eubacterium ventriosum	39496	S	5398	0	5398	0.00059
Eubacterium hominis	2764325	S	2529	197	2726	0.00030
Eubacterium maltosivorans	2041044	S	1035	572	1607	0.00018
Eubacterium callanderi	53442	S	777	104	881	0.00010
Eubacterium limosum	1736	S	769	135	904	0.00010
Acetobacterium wieringae	52694	S	706	0	706	0.00008
Acetobacterium woodii	33952	S	467	97	564	0.00006
Acetobacterium sp. KB-1	2184575	S	291	71	362	0.00004
Alkalibacter rhizosphaerae	2815577	S	582	2	584	0.00006
Intestinimonas butyriciproducens	1297617	S	20780	657	21437	0.00236
Flintibacter sp. KGMB00164	2610895	S	14295	149	14444	0.00159
Aminipila luticellarii	2507160	S	2816	253	3069	0.00034
Aminipila butyrica	433296	S	857	105	962	0.00011
Aminipila terrae	2697030	S	716	78	794	0.00009
Emergencia timonensis	1776384	S	1602	0	1602	0.00018
Mogibacterium neglectum	114528	S	315	0	315	0.00003
Mogibacterium diversum	114527	S	300	131	431	0.00005
Mogibacterium pumilum	86332	S	297	144	441	0.00005
Massilistercora timonensis	2086584	S	4143	215	4358	0.00048
Thermaerobacter sp. FW80	2546351	S	375	66	441	0.00005
Thermaerobacter sp. PB12/4term	2293838	S	212	55	267	0.00003
Thermaerobacter marianensis	73919	S	207	55	262	0.00003
Proteiniborus sp. MB09-C3	3050072	S	403	0	403	0.00004
Carboxydocella thermautotrophica	178899	S	201	1	202	0.00002
Fenollaria massiliensis	938288	S	166	0	166	0.00002
Clostridioides difficile	1496	S	4923	559	5482	0.00060
Clostridioides sp. ES-S-0054-01	2770780	S	198	0	198	0.00002
