Exhibit Animal_name Date Fecal_sample_ID DNA_sample_ID
Gorilla Diara 2025-02-20 T001059 NA000341
Gorilla Diara 2025-02-20 T001059 NA000407
Gorilla Diara 2025-02-20 T001060 NA000342
Gorilla Diara 2025-02-20 T001060 NA000408
Gorilla Abeeku 2025-02-20 T001061 NA000343
Gorilla Abeeku 2025-02-20 T001061 NA000409
Gorilla Kianga 2025-02-25 T001069 NA000351
Gorilla Kibara 2025-02-25 T001070 NA000331
Gorilla Kio 2025-02-26 T001072 NA000389
Gorilla Kio 2025-02-26 T001072 NA000353
Gorilla Kibara 2025-02-28 T001075 NA000392
Gorilla Kibara 2025-02-28 T001075 NA000356
Gorilla Kibara 2025-03-01 T001077 NA000394
Gorilla Kibara 2025-03-01 T001077 NA000358
Gorilla Diara 2025-03-01 T001078 NA000359
Gorilla Kibara 2025-03-08 T001086 NA000361
Gorilla Kibara 2025-03-11 T001090 NA000362
Gorilla Kibara 2025-03-29 T001161 NA000340
Gorilla Kumili 2025-03-31 T001165 NA000375
Gorilla Kianga 2025-04-08 T001182 NA000404
Gorilla Kianga 2025-04-08 T001182 NA000380
