genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	reads_unfiltered_reads	divergent_site_count
CAVAFY01.fasta	3.6951144205664512	0.6594080020882997	0.0011252725150845	1938419	65	59	3	3.859926624379638	0.0027817399982356	0.3738201080364978	0.9617184044932064	0.0	0.9614846402252216	0.961581242582319		False	23.0	22.565217391304348	1.0000000000000002	1.0	27909	27839	27825	554	28856	30999	0.9542292040773828	68902	28379
CAVAHC01.fasta	3.258044710955565	0.6504577170236177	0.0108627562232337	3032769	258	256	2	3.980151772158032	0.0023051883050109	0.2911411980272813	0.9436883298239062	0.0	0.9846403703888268	0.9901966558092968		False	1182.0	34.867174280879865	0.435821587909015	0.9444761993493876	13562	8656	8502	15031	40487	41249	0.9773991671111882	93179	23533
CAVAKS01.fasta	1.4435122740516602	0.4673321904760755	0.0025186869928328	3315083	203	191	0	2.4416223979798395	0.0013492958870384	0.0934567852448942	0.7204632018502213	7.740315246890219e-05	0.9710603356174774	0.9720125106111028		False	194.0	64.30412371134021	0.9691273583698528	0.9963815789473685	8966	8671	8648	843	19438	20060	0.9641324842221274	44374	9491
CAVAKV01.fasta	0.8246952344530993	0.351728419719483	0.0062708227276461	1937637	71	70	0	1.5306442502450126	0.0011036602328405	0.0376664979044061	0.5172256370920341	0.0	0.9706648032445468	0.9741998246190946		False					2141	1883	1875	593	6623	6823	0.9630243264207802	15628	2468
CAVANT01.fasta	2.293681097486017	0.6606689508193453	0.0063989690126511	2708809	84	78	2	2.485855065935931	0.0015150872067405	0.1829874310075018	0.8680484420634005	0.0	0.9725930947106792	0.97652306537712		False	1.0	3.0	0.0896358543417367	1.0	13585	11637	11543	4467	24791	25317	0.9657705602563468	53579	16010
CAVATN01.fasta	1.423658593490541	0.2435343533669392	0.0044813421279098	2631678	47	42	0	3.605397478134309	0.0022264547227639	0.1150288903125685	0.7155194911773511	0.0	0.9738569432377882	0.975934777797231		False	406.0	28.766009852216747	0.94800791848656	1.0	7914	7285	7225	2017	15483	15962	0.964968112653502	37125	9242
CAVAWT01.fasta	1.242829062430674	0.562338325654823	0.0036590031152074	1938310	109	94	1	1.567473854050744	0.0011322566338226	0.0410393590292574	0.6662683533619037	0.0	0.9720668284159052	0.9735502281669955		False	193.0	56.87564766839378	0.172731256871679	0.7915565906025954	2222	2104	2095	370	9586	9961	0.9615259533194112	21418	2465
CAVAZJ01.fasta	3.0414133061141317	0.813089506779328	0.002027799127791	2198448	84	83	3	2.9977450762806237	0.0020295626301967	0.2461450077509224	0.931817541182124	3.939805398204645e-05	0.9979099562587662	0.9985031516972596		False	231.0	30.8008658008658	0.6533133935407369	0.987103794642857	1131	810	808	1054	26552	26854	0.9939370980447664	56106	1862
CAVBBE01.fasta	0.8719814678525617	0.3600285073229081	0.007067616080905	1675359	449	398	0	1.6163228928540336	0.0012836217211305	0.0431113570285532	0.5369682423047935	0.0	0.9751339526769768	0.9794813573871268		False					1796	1482	1467	755	6108	6206	0.9668178576461196	14115	2222
CAVBNR01.fasta	0.9164524134557972	0.0342969877151729	0.010999857125259	2731581	46	15	0	6.953558307193533	0.0042143706416507	0.0225060139164827	0.5547981397282347	0.0077155075935465	0.977991769279568	0.9848723913008116		False	5344.0	51.757672155688624	0.8470398911705748	0.9983965611590024	1353	930	896	1486	10116	10432	0.9725753082523354	22298	2382
