genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	reads_unfiltered_reads	divergent_site_count
CAVAFE01.fasta	8.06927204997915	0.82445444624567	0.0016404553697438	3155876	222	212	8	6.044562109856862	0.0034267442011511	0.6984130555192917	0.9991954015461848	2.754696672081747e-05	0.9677751286803488	0.9679652285167902		False	970.0	27.943298969072163	0.5057292191159128	0.9836049355623068	71027	70608	70587	3823	102671	106306	0.964539209561848	226539	74410
CAVAHC01.fasta	0.9901512446216644	0.3680375920487185	0.005867584575082	3032769	258	243	0	1.841572318996323	0.0010665851996594	0.0556765121247282	0.5828475552297284	0.0	0.9744276120198514	0.9773295272839256		False	10.0	18.8	0.9008333333333328	1.0	4318	3828	3800	1412	12324	12779	0.9680862514046612	29942	5212
CAVANT01.fasta	0.8717709517356151	0.1252528325179073	0.0037060156747636	2708809	84	67	0	3.98587266488369	0.0024293229179024	0.0505284794904328	0.5368821633077352	0.0011020060251244	0.9535186159331346	0.9559004032965106		False	679.0	37.293078055964656	0.7493357094211252	0.9641391260839486	6362	6036	5996	869	9828	12102	0.9413570732266524	32800	6865
CAVBLA01.fasta	1.13928771045901	0.1810548054240089	0.0032065145433677	2497636	62	44	0	4.083570391477879	0.0025903372781378	0.0725902413322037	0.6343179534210492	0.0006253920238991	0.9527313241847946	0.9545183779729074		False	345.0	36.4	0.887045635270432	0.9913321907710454	8570	8246	8197	894	11916	14302	0.9489758655579508	39564	9091
CAVBQZ01.fasta	6.294043595180178	0.8251163546081091	0.0020811138604401	2228962	93	90	6	4.641189803185297	0.00312174715656	0.6331557020711883	0.9961421316714686	0.0	0.9804666685562043	0.981038489881526		False	97.0	11.463917525773196	0.9330378201327912	0.9877659574468084	27567	26760	26749	3247	56095	57241	0.9772406451174778	119033	29996
CAVBRB01.fasta	1.904048101987356	0.6383463919913794	0.0053376229190344	2642053	111	109	1	2.1742524827814305	0.0013432956107593	0.1234997935317724	0.8138634014596862	0.0	0.9752247213394096	0.9778052241390408		False	97.0	22.804123711340207	0.7223607132190517	1.0	8084	7242	7199	1963	20386	21091	0.9698177596809266	44964	9162
CAVBRO01.fasta	1.022097545662828	0.502462193586891	0.0045695523585546	2902087	116	102	1	1.436941043923284	0.0008468894368809	0.0274133752709687	0.5944504154267523	0.0	0.9859721454070088	0.9881969933128864		False	213.0	34.732394366197184	0.4953975320898566	0.9720094839631568	1116	939	935	560	11850	12118	0.9797543082697392	25205	1495
CAVBSP01.fasta	6.7253714394245305	0.6311736991041403	0.0024259820595195	2506196	40	40	5	7.275561830699904	0.0046031313589504	0.5285652039984103	0.9973640271998736	0.00148206828373	0.9781699539816168	0.9788644571400964		False	2550.0	35.485882352941175	0.7959299855533257	0.9860283495631806	28918	27998	27922	4280	69018	71532	0.9746637059130188	156624	32202
CAVBYE01.fasta	0.8725128999139944	0.0015220362038025	0.0124048339746779	2700987	319	2	0	37.49707828098172	0.0230901656546354	0.0012998951864633	0.5371854710737027	0.0080563953646818	0.9923098832241528	0.9954428937624608		False	600.0	142.34	0.1072959410952994	0.7568426421685673	27	16	16	84	9566	9690	0.9906866159025296	22035	100
CAVBZH01.fasta	5.578606942663952	0.3480838549129025	0.0029695449586986	1989150	248	175	0	10.437594544707402	0.0074946273642036	0.2775909307995877	0.9927438792896528	0.0010109256283522	0.9655196769110962	0.9666841733524096		False	2775.0	31.422702702702704	0.7896004560687635	0.9840488956142616	19039	18396	18360	2762	45815	48539	0.9576171798328365	111542	21122
