genome name1 name2 coverage_overlap compared_bases_count consensus_SNPs population_SNPs popANI conANI percent_compared tid1 animal1 exhibit1 date1 tid2 animal2 exhibit2 date2 timediff dyad sample1 sample2
CAVAFY01.fasta NA000334 NA000354 0.5893874108284387 694324 120 63 0.999909264262794 0.999827170024369 0.362270490819633 T001085 Zira Chimpanzee_B_Group 2025-03-07 T001073 Alex Chimpanzee_B_Group 2025-02-27 8 Alex/Zira Zira_07Mar25 Alex_27Feb25
CAVAFY01.fasta NA000334 NA000363 0.6048112894075711 653352 112 55 0.99991581873171 0.9998285763263907 0.340892940065429 T001085 Zira Chimpanzee_B_Group 2025-03-07 T001092 Alex Chimpanzee_B_Group 2025-03-11 4 Alex/Zira Zira_07Mar25 Alex_11Mar25
CAVAFY01.fasta NA000334 NA000390 0.5274915722001065 485597 88 53 0.999890855997875 0.9998187797700563 0.253365091125384 T001085 Zira Chimpanzee_B_Group 2025-03-07 T001073 Alex Chimpanzee_B_Group 2025-02-27 8 Alex/Zira Zira_07Mar25 Alex_27Feb25
CAVAFY01.fasta NA000354 NA000363 0.8361409288288795 1019094 35 7 0.99999313115375 0.9999656557687514 0.531722486290756 T001073 Alex Chimpanzee_B_Group 2025-02-27 T001092 Alex Chimpanzee_B_Group 2025-03-11 12 Alex/Alex Alex_27Feb25 Alex_11Mar25
CAVAFY01.fasta NA000354 NA000390 0.6037719799207071 713516 26 2 0.999997196979465 0.9999635607330459 0.372284108755655 T001073 Alex Chimpanzee_B_Group 2025-02-27 T001073 Alex Chimpanzee_B_Group 2025-02-27 0 Alex/Alex Alex_27Feb25 Alex_27Feb25
CAVAFY01.fasta NA000363 NA000390 0.6166616202420631 670216 29 5 0.999992539718539 0.9999567303675233 0.349691900719507 T001092 Alex Chimpanzee_B_Group 2025-03-11 T001073 Alex Chimpanzee_B_Group 2025-02-27 12 Alex/Alex Alex_11Mar25 Alex_27Feb25
CAVAHC01.fasta NA000334 NA000354 0.666824605223858 984226 6260 397 0.99959663735768 0.9936396721891111 0.325820115103293 T001085 Zira Chimpanzee_B_Group 2025-03-07 T001073 Alex Chimpanzee_B_Group 2025-02-27 8 Alex/Zira Zira_07Mar25 Alex_27Feb25
CAVAHC01.fasta NA000334 NA000363 0.5885446592273335 826548 8610 1012 0.998775630695374 0.9895831821019468 0.273622079175308 T001085 Zira Chimpanzee_B_Group 2025-03-07 T001092 Alex Chimpanzee_B_Group 2025-03-11 4 Alex/Zira Zira_07Mar25 Alex_11Mar25
CAVAHC01.fasta NA000354 NA000363 0.6154927058685293 875087 7649 493 0.9994366274439 0.9912591548040366 0.289690525413265 T001073 Alex Chimpanzee_B_Group 2025-02-27 T001092 Alex Chimpanzee_B_Group 2025-03-11 12 Alex/Alex Alex_27Feb25 Alex_11Mar25
CAVAHC01.fasta NA000354 NA000390 0.5757202585102923 769322 3811 175 0.9997725269783 0.9950462875103013 0.254677871333917 T001073 Alex Chimpanzee_B_Group 2025-02-27 T001073 Alex Chimpanzee_B_Group 2025-02-27 0 Alex/Alex Alex_27Feb25 Alex_27Feb25
