genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
CAVAAA01.fasta	1.048376277533157	0.2921718234984631	0.0102267176767129	2626742	36	35	0	2.461925568617757	0.0015211159444003	0.0786643682554281	0.6037524960783239	7.13862246398902e-05	0.9740406812143386	0.9783769134350606		False	573.0	56.082024432809774	0.3639051667977316	0.9388778855834152	5364	4468	4399	2928	11265	11878	0.961922343864214	7327	29739
CAVABQ01.fasta	1.2006257559127569	0.5409953068306543	0.0055901749402643	1036826	140	135	1	1.6614922219073187	0.0016542090576262	0.0424661418598684	0.6535970348646595	0.0	0.976334317510788	0.9804451510333864		False	37.0	26.45945945945946	0.6150749072291012	0.9130320796987464	1042	861	863	390	4859	4986	0.971137399733232	1253	10859
CAVAFE01.fasta	12.730419065894855	0.8473425445106209	0.0013795438908774	3155876	222	214	13	14.49282512310564	0.008216179029398	0.7865274174270472	0.9999868745837432	0.0007066110577025	0.967105970832932	0.9673025719699152		False	4210.0	142.50403800475058	0.6812242797701443	0.982955086142603	81649	81161	81238	3889	158827	162801	0.964415816701961	85127	349205
CAVAFZ01.fasta	1.2275551778141651	0.5139293788696617	0.0073981804273454	3028527	63	61	1	1.7522047563410217	0.0010089613130116	0.052943229497376	0.661736879054631	0.0	0.9818947237121116	0.9861793688412124		False	6.0	11.333333333333334	0.2594869526758068	1.0	2903	2216	2197	1679	14606	14824	0.9757571572912196	3876	32558
CAVAHC01.fasta	1.568036668800031	0.3604046335213793	0.0126312193251997	3032769	258	252	0	4.520369909563738	0.0026180669598435	0.0898396811626602	0.7495701352132562	0.0026773529341214	0.9746938116368092	0.9827022384690766		False	3635.0	35.88418156808803	0.5557622677222955	0.9876824035559612	6895	4713	4633	6033	19293	19967	0.9667483923498796	10666	48820
CAVAJS01.fasta	1.778093737169599	0.6633540712270458	0.0010029078126795	1975289	96	95	1	1.8944911849129311	0.0013545604604675	0.0909973173545744	0.7919666280162554	0.0	0.968372036095379	0.9684888676243144		False					5685	5664	5659	118	13810	14273	0.960641790634915	5777	30412
CAVAKS01.fasta	1.6229551416963015	0.4860909968166709	0.0052346777191626	3315083	203	193	0	2.6797866278050906	0.0014809108394606	0.112427350989402	0.761424484066455	5.601100140996887e-05	0.97277210455426	0.9757503233111352		False	619.0	49.329563812600966	0.4989150626719625	0.9604033254285668	10148	9038	8974	2906	21518	22129	0.9651912409479624	11880	50552
CAVAMT01.fasta	1.117193133100484	0.4658489561029107	0.0104248610376082	2739111	158	156	0	1.849476109839204	0.0011239932189045	0.0475504643659931	0.6271136272809491	0.0	0.9737573514733656	0.979531041260384		False	157.0	17.49044585987261	0.5582867287263721	0.9790887547071808	3418	2666	2620	2100	12135	12422	0.9680532454659112	4720	28837
CAVANT01.fasta	1.8102690149065512	0.5340498351858695	0.0086551789487732	2708809	84	78	1	4.7487314549754425	0.002894272628469	0.0894138346409805	0.7977938465087988	0.0004232288848811	0.961933073223096	0.9708635247001508		False	913.0	32.87075575027382	0.9139136470830918	1.0	9220	7057	6964	3548	19511	21338	0.9588589854857236	10512	52623
CAVAOT01.fasta	9.24057695109026	0.8928205102445738	0.0019248483253731	1990810	398	373	9	5.741780210790399	0.0041532920733209	0.7880510947805165	0.9997139744592508	5.5993443694314526e-06	0.978211567635098	0.978967530563594		False	285.0	15.929824561403509	0.8758810465818465	0.9944643442742302	34183	32997	33453	3874	72000	73507	0.9737327249389628	37327	157844
