genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
CAVAAA01.fasta	1.1251813082518192	0.362812564005144	0.0168979667415482	2626742	36	34	0	3.364345345522603	0.0020786815867942	0.0570040757714308	0.6297345489052353	0.0040791009598857	0.976291448225198	0.9855544795805924		False	2547.0	55.32587357675697	0.3792478976346376	0.9596613195933604	3550	2163	2107	4036	11636	11992	0.9632087940969692	6143	28089
CAVABY01.fasta	3.882060842820947	0.8734538797552847	0.0029234271797473	2642744	77	73	4	2.806247393184815	0.0017312810207097	0.3756179183454772	0.9675436680101916	0.0	0.9788729698527796	0.9805895662370474		False					20972	19268	19199	3640	39743	39969	0.9758623326700144	22839	82352
CAVAFE01.fasta	1.0949885229964675	0.4446806528520132	0.0033872809069045	3155876	222	210	0	14.12251298392969	0.0080062440576872	0.0112241418864365	0.6197304234515704	0.0015782973566683	0.985828016486929	0.9888487380723844		False	2832.0	219.14265536723164	0.4830033094968984	0.9556314730364036	502	395	393	214	13422	13576	0.9841257884845802	607	28628
CAVAFY01.fasta	13.910938759886278	0.7170936727301992	0.0010062193854367	1938419	65	60	14	12.545629474832356	0.0090412804981218	0.6455343246222824	0.9999953718758584	0.0007689507549451	0.9551504176403084	0.9553573997295648		False	607.0	34.09060955518946	0.850844824484557	0.9931506882730676	56121	55862	55824	1197	104917	111412	0.9542360806532042	57021	248204
CAVAHC01.fasta	3.962603152432645	0.6461784593551306	0.0127749140822687	3032769	258	254	2	7.263672952491309	0.0042069084045075	0.281379491810949	0.9697717567172564	0.0021540281364089	0.9758472108456112	0.9846946009827048		False	11883.0	46.82967264158882	0.546193417771548	0.9733535765095066	20611	13061	12813	19154	47472	48904	0.9694785536004084	31967	116366
CAVAJE01.fasta	1.4572106385374295	0.6372795659578061	0.001740418078158	2273696	268	257	1	1.7974219855483595	0.0012063248386472	0.0516990837825285	0.72382401615374	0.0	0.9823986796882976	0.9837087827951134		False	2.0	54.5	0.9999999999999998	1.0	2069	1915	1914	275	12854	12961	0.9792687448833556	2189	27095
CAVAJG01.fasta	0.8874652440124323	0.4952824124854081	0.0009031195881859	1929164	35	35	0	1.194236375019183	0.0008613808026614	0.0133985498381681	0.5432558129010288	0.0	0.9810043330238316	0.9813138347260908		False	3.0	24.0	0.8930041152263376	1.0	491	483	483	19	6693	6762	0.9754848153618813	502	14105
CAVAKS01.fasta	2.543872958836928	0.5682832073887742	0.0040229144327727	3315083	203	187	1	3.401983562493881	0.0018800132372816	0.2299707126488235	0.8942037096104227	3.719982338451985e-05	0.9699385601779708	0.972303547349588		False	565.0	35.031858407079646	0.4147832865760653	0.9753593600107776	22918	21115	21017	4383	32990	33734	0.9648181408379284	25400	75178
CAVAMT01.fasta	0.8532545778539096	0.356907405358892	0.0087936056551218	2739111	158	155	0	1.814406584682786	0.0011026802058538	0.0383106051561984	0.5292479667322687	3.107951550755788e-05	0.9745942803777504	0.9797688136691538		False	66.0	17.636363636363637	0.5538768461362595	0.9786922372499296	2666	2123	2102	1293	9214	9444	0.9692708796499448	3395	21876
CAVANT01.fasta	1.6520197621906898	0.5987535481460672	0.0047472189408281	2708809	84	79	1	1.958044563585776	0.0011933955077142	0.0948571863132468	0.7674694000703779	0.0	0.9726522669780112	0.9756489589414284		False					7027	6257	6217	1719	17416	17629	0.9668585771292108	7936	37461
CAVAPB01.fasta	0.9858195705764392	0.5067969498409779	0.0007163922555988	1957275	38	36	1	1.2994328310469183	0.0009306209717477	0.0211656512242786	0.5812489468324322	0.0	0.9873995220508364	0.987520216284066		False					522	517	517	29	7483	7512	0.9837741163322736	546	15631
CAVATM01.fasta	0.8967892467412677	0.1924794797599477	0.0055831092570341	2419806	28	27	0	3.139247864080445	0.002020405466608	0.0646642747393799	0.5470007933714719	0.0045483048478974	0.9812302284710016	0.9848665921073654		False	1100.0	51.75454545454546	0.5153446595679511	0.978449843055348	2937	2368	2342	1502	8599	8736	0.9723265570037812	3844	20678
CAVATN01.fasta	2.986986629823253	0.2837243006173248	0.0056786462156345	2631678	47	42	0	8.146562262362766	0.0050307773645845	0.1730112878551251	0.9284607618241636	0.0055089247274082	0.9687729239419296	0.9733653993982122		False	6932.0	60.835256780150026	0.887616207582161	0.99853606018405	14218	12127	11976	4936	31304	32546	0.9624985653891228	16912	76498
CAVAZJ01.fasta	10.663810560904784	0.9173166706694904	0.0020051036025322	2198448	84	83	11	8.065941734218855	0.0054608825982715	0.8162262650742705	0.9999186007684386	0.00025791043159	0.9976510659925067	0.9984318148761362		False	2362.0	71.11854360711261	0.4785740556524471	0.9697518894356564	4215	2814	2799	4882	90572	90858	0.9946181590341931	7681	188825
CAVBBA01.fasta	1.073030877046974	0.5200316728115734	0.0011980432627505	2028238	37	36	1	1.4051460196473384	0.0009884525247881	0.0299950005867161	0.6122855889724985	0.0	0.9734043427519437	0.9736344658678108		False					1618	1604	1602	51	8444	8538	0.967513345719615	1653	17846
CAVBDA01.fasta	1.5846874445996255	0.6923387497783985	0.0010281905066469	1850168	96	96	1	1.6284083581463975	0.0012034361810886	0.0588022276895935	0.753225178887943	0.0	0.9967185690387338	0.9970127029064104		False					357	325	329	110	11342	11406	0.993189936747038	439	23457
CAVBEH01.fasta	1.8276439928938453	0.6271747267937583	0.0008673120740057	2739597	52	46	1	2.083318352107198	0.0012610673353131	0.1113145473586078	0.8008724382350879	0.0	0.958646628868988	0.9588237030138675		False	31.0	58.516129032258064	0.6681155888382617	0.988479262672811	12611	12557	12550	163	19417	20331	0.9523291838069076	12713	43754
CAVBNP01.fasta	1.6985426273734838	0.6799197963770559	0.0060264183161648	1901161	39	39	1	1.8183723155117704	0.0013214970920426	0.0733488641940371	0.7768281418476025	0.0	0.98071682634387	0.9840442315415066		False					2689	2225	2204	1125	12590	12732	0.9777608836585384	3329	26667
CAVBOH01.fasta	1.7188865949450798	0.6072065678478685	0.0125352670090438	1239980	216	189	1	3.013380942332152	0.0027545271498098	0.0838021580993241	0.7808013457585367	0.0002692982180354	0.9733045913408332	0.9822640093154852		False	214.0	46.42990654205608	0.4370020582907682	0.8446918100075322	2774	1843	1799	2144	8338	8711	0.9678484575738692	3943	19292
CAVBQE01.fasta	1.1042780536285717	0.3979544017148751	0.000898152967747	2014374	270	239	0	1.8937361241869928	0.0013525399679376	0.0685821004441081	0.6228368857654697	0.0	0.9793123416576184	0.9794643503438292		False					2858	2837	2837	82	8656	8702	0.9717411478363904	2919	19685
CAVBQZ01.fasta	0.8610146785813306	0.4803249225424211	0.0038645642874784	2228962	93	91	0	1.1705128244755882	0.0007873078319304	0.0138068751284229	0.5324626129667243	0.0	0.9804386677497968	0.9826482534524776		False					602	534	532	147	7451	7534	0.9773071140656204	679	15637
CAVBRB01.fasta	2.712466403966915	0.795343999533696	0.0111927126945616	2642053	111	110	2	2.5610883782685216	0.0015822903754461	0.2031999358074951	0.9088371521260624	0.0003782626812021	0.9785011129427325	0.9856462984176656		False	342.0	60.3421052631579	0.76851723050025	0.9593986131473496	11542	7706	7558	9029	27883	28295	0.9737185862371096	16587	59966
CAVBRO01.fasta	2.3769559630707144	0.7614130796216654	0.0028648006766335	2902087	116	106	2	5.386287487148861	0.00317451435893	0.1368046512733766	0.8774029251902419	0.0003670289891565	0.98552714101844	0.9871769361164076		False	1117.0	72.4136078782453	0.392475630088081	0.9670244076205168	5746	5091	5076	1534	26808	26984	0.9801704479920794	6610	56518
CAVBSP01.fasta	16.83558588394523	0.7586820823271604	0.0035093179209399	2506196	40	40	19	13.466787366309068	0.0085202205235347	0.6969774111841213	0.9999996501713366	0.003116093983117	0.9801358170145676	0.9827961679954108		False	11675.0	32.22706638115632	0.8722834580892699	0.9953899706463064	34698	30051	29845	12020	164237	166698	0.9786721964323452	41865	355210
CAVBVL01.fasta	1.0589263785743523	0.508395793847625	0.0015142332385713	2907170	96	83	1	1.421775553927368	0.0008366325921779	0.0304261532693306	0.6074266939849635	0.0	0.9787234042553192	0.9792660591946096		False					1882	1834	1831	158	11917	11995	0.975095397821612	1989	25478
CAVBVV01.fasta	1.0324860188083196	0.5474767223541159	0.0032049837931728	2191158	96	91	1	1.5067489482472314	0.0010223869220389	0.0187152181631812	0.5981535203048411	0.0	0.9882218103784628	0.9900263363246196		False	78.0	25.012820512820515	0.6380491374047355	1.0	483	409	407	188	8796	8861	0.9841788123144466	595	18371
CAVBZH01.fasta	1.1652293693286078	0.1241153256416057	0.0040650400003599	1989150	248	163	0	4.772291726059686	0.003426704113375	0.0637850338084106	0.6425992340410687	0.0002920640955714	0.977758161383376	0.980256624473904		False	563.0	26.426287744227352	0.8750753621812807	0.9989489489489488	2822	2505	2488	918	9118	9302	0.9719319971459928	3406	21922
CAVCGL01.fasta	3.114325432995606	0.4572841592638406	0.0041774646558741	2617694	40	37	0	5.423352991071415	0.0033571686742535	0.237211454050779	0.9360689012340622	0.0	0.953648217963852	0.9571541532530152		False	493.0	29.038539553752532	0.8460143050307543	0.9957017344542908	28782	26605	26389	4371	32106	37258	0.9442711005505268	30760	93044
CAVCIB01.fasta	2.229412887158547	0.6551304116970038	0.0078973200135352	2651756	131	130	1	2.719432727579577	0.001678292909289	0.1656057344642568	0.8603437983926399	0.0	0.9780027599021738	0.984057693796596		False	23.0	10.869565217391305	0.3705042063461998	0.8764273166447082	9660	7001	6922	5325	23148	23542	0.9751543197406796	12247	51704
CAVCJM01.fasta	1.0569307865245672	0.5515408421859537	0.0107844077257324	1748070	69	69	1	1.2911731766937828	0.0009804518373007	0.0209768487531963	0.6067343276753505	0.0	0.9818920614142737	0.9888734353268428		False					664	408	404	535	7201	7282	0.9790783300971704	939	15233
CAVCJP01.fasta	3.450231016547475	0.6691535416315114	0.0010986566574506	2678596	373	269	3	3.611708289579856	0.0022381675403222	0.3496760989712521	0.9524775946517736	8.636039186641021e-06	0.9904979602643916	0.9906837304794474		False	89.0	50.10112359550562	0.9113657848310756	0.9840357598978288	8900	8726	8797	715	35998	36300	0.9837563911395656	9512	75875
CAVCKP01.fasta	1.0382940206171307	0.4863781524810064	0.0012180420572242	2313416	211	162	0	1.4527382964364066	0.0009639583318766	0.0323149835567835	0.6002091006593969	0.0	0.9906632066133392	0.9909441130046284		False					698	677	677	77	9401	9448	0.9876401902155556	754	19548
CAVCNU01.fasta	4.01195751551558	0.8581714841610589	0.0079123792941323	3655358	252	250	4	3.3155301379096414	0.0017462359930477	0.3832037792194362	0.9710608082372304	0.000681536078656	0.990587165276813	0.9943315959270304		False	1136.0	41.7931338028169	0.3768265756846708	0.9121889833104372	13185	7940	7857	15895	58184	58802	0.9835694296699908	23752	124167
CAVCOZ01.fasta	0.9697568746977198	0.5245768624994579	0.0014445330806655	1821571	284	280	1	1.2374204183804536	0.0009314793291398	0.0176248963120295	0.5752673302653576	0.0	0.9887556455380782	0.989347453667653		False					361	342	342	40	6875	6931	0.9830906257592956	382	14592
CAVCQF01.fasta	2.319734472232057	0.7936866216833676	0.0034476329642579	2333014	40	40	2	5.214449756041049	0.0034197613087994	0.0998082308978857	0.8710493542588367	0.0024256801489835	0.9848402861879118	0.9867599439992442		False	3917.0	97.1741128414603	0.3475591811330837	0.9373086005307206	3530	3083	3064	1227	21170	21260	0.9811271692393572	4291	43870
CAVCQM01.fasta	1.6097405108844045	0.6921045913684629	0.0075944580005189	2342526	35	35	1	1.6282603107954678	0.0010654463275175	0.060208936848513	0.7586243562224408	0.0	0.986124602066066	0.990456675718408		False					1957	1346	1331	1474	14588	14702	0.9835166890529504	2805	30279
CAVCRQ01.fasta	12.426955841731177	0.9426553919053182	0.0115127106930824	1465456	12	12	12	6.82334408213761	0.0056411408794665	0.8690005022327522	0.9999828412448158	0.0006351385391314	0.9828164041580486	0.9907136496628928	2.278508742236641	False	6627.0	27.34148181681002	0.5171966693331844	0.9839504968948654	21883	11826	11477	30508	70559	71116	0.9789418592926918	41985	148197
CAVCRU01.fasta	3.930375784376261	0.6127795505619871	0.006264652388334	3560313	46	45	2	6.345410759917303	0.0033672670121053	0.2581576395109081	0.9688992025175822	0.0003006623517887	0.9796479683872216	0.9846549206742956		False	4127.0	27.231887569663197	0.8358401720688642	0.9975209308966096	18706	14104	13892	10905	54506	55550	0.9778777462660552	24797	125177
CAVCRX01.fasta	11.114166566655538	0.9411114662661468	0.0011910187822203	1683146	77	75	11	5.700434884866769	0.0044141101413136	0.8851709833846856	0.9999453088732514	0.0015858446002274	0.9733211980626524	0.9734406714133832	1.713421615855308	False	844.0	58.27725118483412	0.4897108225153311	0.9195859724686346	39748	39570	39602	1504	72550	73393	0.9700172193191025	41106	152173
CAVDAC01.fasta	1.25703396683046	0.4924981198649695	0.0093994102856905	2652735	55	55	0	1.8865892336229664	0.0011607342750464	0.0701355393584357	0.6704281834725447	0.0	0.9712820678201138	0.9773664210350924		False					5343	4211	4131	2559	13051	13297	0.9668983151871676	6690	30108
CAVDCP01.fasta	4.082955784779614	0.8393121538257902	0.0007540343800356	2681995	43	43	3	3.492271022212639	0.0021358780658094	0.389798638699923	0.9728193500559494	0.0002658832351544	0.993167457084973	0.9932076316338224		False	163.0	46.36196319018405	0.5011287771825103	0.989645468944832	7143	7101	7095	333	42865	42973	0.9906407937781	7428	94035
CAVDDQ01.fasta	5.276832578691238	0.8708524269617508	0.0033528025022476	1830890	23	21	5	3.696949211944748	0.0027356386609564	0.5593509167672552	0.9905282648916108	0.0	0.9885705637089766	0.9908593803400024		False	19.0	16.63157894736842	0.8218827104976697	1.0	11705	9361	9318	5063	37567	37720	0.9850780176988244	14381	77063
CAVDFX01.fasta	0.9338646128259448	0.4091314075276694	0.0101177137795907	2020280	449	430	0	1.8162569231014485	0.0013072081349939	0.0374121408913615	0.5615907539487268	0.0	0.9677705304102774	0.97398885992882		False	59.0	17.10169491525424	0.6763846600041967	1.0	2436	1966	1937	1088	7413	7737	0.9565498944945836	3025	18441
CAVDHG01.fasta	3.19175141398434	0.4491243857477319	0.0122667782723397	1671341	180	177	0	5.6271593197375855	0.004400329333262	0.2375583438687856	0.9402936260856524	0.0	0.941968209832234	0.9489700056165484		False	2112.0	31.34753787878788	0.2190135040589832	0.923590125053604	23041	20261	19486	9095	21138	27964	0.9301939188007148	28581	77466
CAVDJI01.fasta	5.281237783490576	0.7248999709956422	0.0037373899534081	1110178	224	213	4	6.082082552860726	0.0058925143958502	0.4566537978594424	0.990565036444132	4.8444673703247234e-05	0.9801624168831502	0.9820501137154884		False	893.0	37.20044792833146	0.4687601429920945	0.9490821803540987	10057	9100	9058	2861	23057	23340	0.9743312777576644	11919	51284
