genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
CAVABA01.fasta	6.831021777370064	0.5567524581412082	0.0011675892117511	990891	18	16	2	10.218232522098134	0.0102837950305808	0.3863654024509255	0.9975988133574332	0.0009449045134102	0.9437188843555896	0.9439565778406984		False	95.0	7.578947368421052	0.9566015875232466	0.9981566820276496	21547	21456	21424	458	27327	33041	0.9397215710009048	21882	84203
CAVABQ01.fasta	1.0034345203534634	0.4818465200525449	0.0046394416142814	1036826	140	130	0	1.6742417441057105	0.0016669026921933	0.0275533213866164	0.587711809011106	0.0	0.9805376645197424	0.9822178661439372		False	106.0	44.31132075471698	0.4280276395310127	1.0	556	508	507	199	4128	4184	0.9729130104487566	706	8881
CAVAIJ01.fasta	6.785445898255147	0.8450259687253796	0.0071270637928684	2496657	100	99	7	5.075347243992433	0.0032250237464295	0.644829065426288	0.9975002104437704	0.0002222736870379	0.9887988014288936	0.9927604963485696		False	1802.0	31.68756936736959	0.484558481239949	0.956058196257146	18033	11655	11561	17991	67777	68637	0.981009303379022	29552	146212
CAVAJG01.fasta	1.6732377340651183	0.6913035905708379	0.0036480889202681	1929164	35	35	1	2.043481254603776	0.0014739255645985	0.0648638477599623	0.7717854124478716	0.0004211714536958	0.980612628163634	0.9824346894903824		False	94.0	54.52127659574468	1.0000000000000002	1.0	2426	2198	2193	572	12912	13168	0.9771405608258082	2765	27899
CAVAQS01.fasta	1.3003786516539984	0.4936379131165257	0.0017698765417323	2218926	13	13	0	1.96465905777668	0.0013196855828089	0.0693015449816712	0.6828036668707674	0.0	0.9706519265160136	0.9711461550967322		False	176.0	38.42045454545455	0.5556661760372235	0.984911709473113	4513	4437	4435	302	11543	11753	0.9695912503809174	4737	26627
CAVAUN01.fasta	1.062762451383178	0.5199016114138932	0.0057168097868527	1761993	192	185	1	1.4635711390228476	0.0011147990808729	0.02970726898461	0.6087541892648693	0.0	0.9801123337918386	0.9837803759743236		False					1041	849	845	408	7428	7552	0.97391953967418	1253	16511
CAVBBD01.fasta	2.444609093688997	0.1883334386652341	0.0020062711891487	2547503	81	69	0	8.12031377449659	0.0051038844065708	0.1382396801887966	0.8845121361840189	0.0008025496330533	0.9815995865586116	0.9819829285053072		False	647.0	38.36785162287481	0.7811141022834193	0.9743574858642052	6480	6345	6322	794	25646	26304	0.9735381449341676	7116	61413
CAVBCU01.fasta	0.9197550273754344	0.4541992129326966	0.0115545732023401	2652378	51	51	0	1.3620711274278514	0.0008379514044201	0.0267435486193898	0.5560945497758185	0.0	0.9710717004539432	0.9774861138523134		False					2052	1597	1585	1034	9737	10055	0.969609239915222	2619	22537
CAVBMP01.fasta	2.389711709361293	0.5154727933862736	0.0012814209639557	1226540	232	186	1	3.263367659950906	0.0030039965115281	0.2247199439072512	0.8787760283928087	0.0	0.970500094330039	0.9706343332317472		False	12.0	15.0	0.497600482688202	1.0	8131	8094	8090	238	11739	12045	0.9631105519519146	8328	26045
CAVBNM01.fasta	1.649310153209035	0.5621445525891334	0.0020775770563287	3102428	141	134	1	4.954515075489331	0.0028257464323212	0.0447781544003599	0.7669123848201687	0.0004014428487612	0.986582302171738	0.987568474168772		False	197.0	41.10659898477157	0.827670287932714	0.9934405671829484	1864	1727	1721	381	20124	20328	0.9894004455816096	2102	42971
