genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
CAVABY01.fasta	16.97315744544307	0.9300511135395634	0.002284480142276	2642744	77	72	18	8.097365791596127	0.0049955737141282	0.9005828790075769	0.9999996901873336	4.76791131086408e-05	0.9783063936706148	0.9799803362170748		False	3913.0	24.571684129823662	0.9364122712356028	0.9965230437577236	51631	47647	47448	9785	176372	177721	0.9755457484248524	57233	364124
CAVAFO01.fasta	2.6283987426879016	0.6338688446459271	0.0016823534293623	3524980	367	306	2	2.976677517279966	0.0016022226919403	0.2388311423043535	0.9018124731778342	4.1708575608381584e-05	0.9728546399406088	0.9734473645137344		False	159.0	29.9622641509434	0.591660451367108	0.9729730785054704	22853	22354	22345	1597	36533	37414	0.9661769375785988	23942	80013
CAVAFT01.fasta	0.9406324794310128	0.4165399035802344	0.0054684953871794	2547403	55	52	0	2.11979223454614	0.001331018995122	0.0321221259455217	0.5642028862354307	0.0026258196941827	0.9823654494793956	0.9864960649166544		False	333.0	45.65765765765766	0.6326622911671934	0.9968979626335288	1443	1105	1090	779	9432	9582	0.9842901947219596	1869	20788
CAVAFY01.fasta	3.5669775213717982	0.6553412858623445	0.0007577949997688	1938419	65	60	3	3.722786018831074	0.0026829066407756	0.3643464080779233	0.9571324929465824	0.0	0.9613058154550193	0.961363868059174		False	6.0	2.0	0.5756172839506183	0.6944444444444443	27328	27287	27276	270	27329	29081	0.9543423877027568	27546	64219
CAVAHC01.fasta	5.0321844492607255	0.7041878230752161	0.0111251738909238	3032769	258	257	3	6.086115637083346	0.0035249014089585	0.4102439058167635	0.9882443213843296	0.0004388035369011	0.9830256997608856	0.9893785038278378		False	6662.0	41.65085559891924	0.4996458838677381	0.9618701191796032	21119	13215	12921	25134	60938	61822	0.9768020383737556	38055	137656
CAVAJG01.fasta	7.843283411882038	0.8845266654364274	0.0009957052525201	1929164	35	35	8	4.834966056676374	0.0034873723743961	0.7526343016975229	0.999017705358833	0.0	0.9801095763987177	0.980238368268989		False	90.0	31.07777777777778	0.67984791365532	0.9867283950617284	28880	28693	28672	911	59820	60483	0.9763931519200936	29583	125092
CAVAJX01.fasta	8.757712683193468	0.5224864211899327	0.0015751587382154	1359287	127	123	1	16.107749942045526	0.0139468304664685	0.3961635769340838	0.99956189865771	0.0008613886061838	0.9693073351903436	0.9701894150417828		False	1428.0	90.78991596638656	0.8727031563705373	0.9931665551059392	16528	16053	16013	1169	47535	48338	0.96518238649797	17182	106342
CAVAKS01.fasta	2.644719302653961	0.5448228596388084	0.0019124333366713	3315083	203	190	1	3.642568505343852	0.0020129659305971	0.2466963873906023	0.9032173120555844	8.102924081058874e-05	0.9698197278370888	0.9706353117254553		False	750.0	50.01733333333333	0.5959733360881826	0.9820124742068492	24682	24015	23973	1816	34914	35781	0.9642134282967596	25789	78331
CAVALF01.fasta	0.8549905352805577	0.1017457340053112	0.001359917912811	1164324	157	71	0	3.63228996651003	0.0034125601436233	0.0651734396954799	0.5299690064142364	0.0005277855497078	0.953006602269283	0.9535864422861512		False	488.0	61.93647540983606	0.7624887123072244	0.9939887457612137	3566	3522	3520	148	3967	4555	0.9470100646292876	3668	10955
CAVAOT01.fasta	2.361918515579086	0.7673037607807878	0.0007613970114139	1990810	398	370	2	2.183901603264637	0.0015797158520115	0.1546938180941425	0.8757642177664061	0.0	0.9787768779670484	0.9788320788658488		False	20.0	24.6	0.6964815497109743	1.0	6536	6519	6605	135	18588	19005	0.9735292160486224	6740	40146
CAVAUN01.fasta	3.818910744821347	0.8309715191831069	0.0062509892578301	1761993	192	184	4	3.0058975736194093	0.0022895859059548	0.3755412195167631	0.9656824429244176	0.0	0.9807088095680676	0.9854934479470336		False					12765	9599	9544	6741	26722	27042	0.9755933038465684	16285	57248
CAVAWT01.fasta	1.91593449964144	0.6665234147272624	0.0020151767286241	1938310	109	95	1	2.0473088728395386	0.0014788629786493	0.1135994758320392	0.8158068167515993	0.0	0.9731778319731506	0.974018011635353		False	90.0	38.65555555555556	0.2249240565436528	0.7521915752053878	5906	5721	5700	510	14616	14967	0.9607234202544296	6210	31701
CAVAZJ01.fasta	76.90754341244369	0.9474342809108972	0.0025817712502725	2198448	84	84	83	50.12744276674632	0.0339377705568422	0.917941202157158	1.0	0.0020597514558773	0.9967037421347184	0.9981234322706222		False	33078.0	83.11315678094202	0.6908539528366497	0.9786682064905464	6652	3787	3745	9569	662583	665624	0.9945307037946248	13314	1372536
CAVBCU01.fasta	2.680209231112609	0.7186698125229511	0.0089789247379787	2652378	51	50	2	2.759365844108002	0.0016975724966328	0.2261585641262293	0.906203219920745	0.0	0.9782431842202656	0.9839628712128538		False	260.0	29.25769230769231	0.2759058833480392	0.8749428075129047	13051	9620	9514	7807	28290	28640	0.974297041823404	17321	60937
CAVBDA01.fasta	5.628814788711079	0.8670450467200816	0.0008942829601528	1850168	96	96	6	3.856049196746095	0.0028497207694906	0.5968755269791716	0.9930585421274364	0.0	0.9782807519559548	0.9783631556070704		False	13.0	7.846153846153846	1.000000000000001	1.0	23985	23894	23978	580	41041	41630	0.97484560671017	24558	86052
CAVBKW01.fasta	0.903436921432328	0.0497655810076988	0.0037369994296401	2097313	38	32	0	7.6818171962521715	0.0053139902074194	0.028865982330725	0.5496520629911423	0.0023422688637117	0.948134322194876	0.9506945706215622		False	939.0	74.15228966986156	0.860021498428031	1.0	3140	2985	2969	415	8006	9765	0.9403226919145736	3384	27538
CAVBNP01.fasta	0.8480617896117162	0.4524787748118123	0.0068175265572178	1901161	39	39	0	1.399933714009589	0.0010173979862839	0.01881797491112	0.527084503236263	0.0	0.98387186940966	0.986862701252236		False	30.0	33.63333333333333	0.2622186506223171	1.0	577	470	467	347	6386	6466	0.977842442494592	814	13633
CAVBQO01.fasta	1.9167523636578965	0.7295402956792926	0.0007769847369706	2026520	15	15	2	1.858234986423928	0.0013063122194264	0.0971009415155043	0.8159397882459338	0.0	0.982187958958618	0.9822946787480245		False					3505	3484	3482	81	15240	15354	0.9797916542761924	3563	31295
CAVBQR01.fasta	8.780706623421697	0.3037250741318127	0.0019120521511546	2653719	35	28	0	18.142707857139968	0.0111518847343067	0.247458001393516	0.9995707040206966	0.0015473066611045	0.9888317668772196	0.989667785418862		False	2870.0	53.77909407665505	0.8690528258137791	0.9927890889538143	7334	6785	6746	2005	92247	92648	0.988008275828047	8751	194433
CAVBQZ01.fasta	4.495108934113727	0.8436662446466113	0.0043060089069251	2228962	93	92	4	3.3162721942387354	0.0022305839088155	0.4740520475450007	0.981111106758248	0.0	0.9806358622203885	0.9838592752147364		False	4.0	12.75	1.000000000000001	1.0	20461	17055	16965	7048	39513	39924	0.9776002896860516	24013	82311
CAVBRB01.fasta	4.091566293333252	0.8554680772868675	0.0136456621952562	2642053	111	109	4	3.1357118492722678	0.0019373039686472	0.4083472208922379	0.973025223060082	0.0	0.97753215154675	0.986531340516742		False	140.0	35.457142857142856	0.3768953995502417	1.0	24240	14531	14142	23949	42862	43671	0.9728284414287618	38091	91734
CAVBRO01.fasta	10.89686525593478	0.8849303966421407	0.002199893588061	2902087	116	105	11	6.819081674774121	0.0040189597645753	0.8303527771565773	0.9999337405207948	0.0012245834985202	0.9857927524612452	0.9870090581785044		False	4023.0	74.70096942580165	0.4986211805394474	0.9683985734185276	34236	31305	31219	7915	124804	125851	0.9808768362278634	39134	258519
CAVBSP01.fasta	26.371352440112425	0.753561572997483	0.0016626638084319	2506196	40	39	31	19.86452724745945	0.0125679680045699	0.7263933068283566	0.9999999999228988	0.0013239657416715	0.9794384350535352	0.9800382755355168		False	5129.0	38.1130824722168	0.845297467984983	0.9903476475465586	37432	36340	36199	4122	261917	265974	0.9792120349707047	40321	560681
CAVBTV01.fasta	2.028502862877969	0.4275747682992189	0.0033396787545021	2168098	67	60	0	3.93693467373159	0.0026820391007557	0.166061220479886	0.833234730626216	0.0020850452183677	0.980196479806242	0.981746320517058		False	8775.0	48.36729344729345	0.2259494486966604	0.8948924475749575	7130	6572	6551	2253	17551	17952	0.9730744839550164	8804	40177
CAVBUC01.fasta	4.13398136510298	0.789891419505935	0.0019711679511786	2573022	126	125	4	4.165979639113013	0.0026099529997127	0.3871917923748806	0.974016811477602	1.2453710573310943e-05	0.9864381838749796	0.987330527486492		False	595.0	37.68571428571428	0.3916564645786091	0.947280755034372	13511	12622	12576	2625	41947	42390	0.9820747453018366	15201	89248
CAVBUN01.fasta	1.1538101843154327	0.5454518864836224	0.0179353521325539	2666787	272	271	1	1.4939595131366998	0.0009243153263395	0.038095280950447	0.6389772823137783	0.0	0.972537207654146	0.9843196314670446		False					2790	1593	1558	2607	12199	12829	0.9661118890682968	4165	28668
CAVBVK01.fasta	2.0585861798037883	0.6630572032473884	0.0009386215546818	2037699	95	92	1	3.224591377234362	0.0022695461167097	0.1204083625697416	0.837606292149282	7.736507272565024e-05	0.958810870734769	0.9590391105169632		False	204.0	33.279411764705884	0.9936269646747588	0.9966299019607844	10106	10050	10053	215	16677	17350	0.9534212748068362	10268	37291
CAVBVV01.fasta	5.894702709708747	0.9224966889653782	0.0014203824889106	2191158	96	93	6	3.980044108615671	0.002700612501187	0.634796760434437	0.9945110730211	0.0002473194289294	0.9889333831797202	0.9894884035256732	1.716724550820201	False	769.0	53.57607282184655	0.4465627257397864	0.9770202877143686	15393	14621	14607	2095	50876	51202	0.9835720345792238	16702	105040
CAVBWP01.fasta	1.1810679001385451	0.5685341116406101	0.0072414320464464	2314767	45	44	1	1.443860163016832	0.0009508620589534	0.0327734929692707	0.6475628448273596	0.0	0.9839974691219698	0.987464244756996		False					1214	951	943	649	10881	10973	0.9797413473333648	1592	23029
CAVBYE01.fasta	1.6612567924243986	0.0016312555373276	0.0116114180106487	2700987	319	2	0	71.28688269213924	0.0438974449697034	0.001483531760797	0.7693582752811823	0.0091609314129787	0.9917644122785126	0.99500873471425		False	695.0	125.87482014388488	0.1051298970059497	0.7276056564366036	33	20	20	84	17907	17978	0.9911789686979298	104	40249
CAVBZH01.fasta	1.6819304728150215	0.086998969409044	0.0018855250476558	1989150	248	77	0	7.066419153175235	0.0050739831026655	0.0695905286177513	0.7735304108916603	0.0015066677320927	0.976904627743343	0.9778582058283848		False	1512.0	56.65343915343915	0.8307249619951654	1.0	3197	3065	3062	439	13455	13847	0.965676613834742	3501	31930
