genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
CAVABY01.fasta	3.621157024668299	0.8630351634513218	0.0043677720309697	2642744	77	73	3	2.739515607309676	0.0016901116374814	0.3334908716092062	0.9591350132716449	0.0	0.9790044829922016	0.9816130375534275		False	1.0	18.0	1.0	1.0	18504	16205	16118	5090	38168	38689	0.9747655915615824	21208	79541
CAVAFY01.fasta	5.043826953821646	0.6776666964159967	0.0012033072787529	1938419	65	60	4	5.049993763985372	0.0036393877426041	0.4816667603856545	0.9883645545803652	0.0	0.960215150502532	0.9603019047374238		False	78.0	22.615384615384617	0.9083041060551308	0.9921652421652422	37146	37065	37040	752	39326	42100	0.9541613343313584	37792	93527
CAVAHC01.fasta	1.9162254032535944	0.5418233304283973	0.0110692895078441	3032769	258	254	1	2.837980386250713	0.0016436758120629	0.1433946996952289	0.8158541239897312	0.0	0.9771340797409878	0.983696764417096		False	217.0	21.986175115207374	0.4870203411594968	0.9824751506996928	9944	7090	6993	7148	23785	24526	0.9700662529182728	14141	56588
CAVAKS01.fasta	0.9115527424200238	0.3959164823324182	0.0037522378372583	3315083	203	179	0	1.539315623284673	0.0008506607086626	0.0363408698967717	0.5528678415402712	0.0	0.9715122890606194	0.9732886206867928		False	74.0	35.71621621621622	0.7795215731840148	0.9885885885885886	3432	3218	3202	564	12296	12659	0.9652453871183512	3766	27990
CAVAOT01.fasta	0.8963562570009193	0.4852346532315992	0.0024587421092457	1990810	398	377	0	1.2262877004863364	0.0008870299452545	0.0169252716231081	0.5468275650985845	0.0	0.9821932037394272	0.9833209675025968		False					600	562	569	94	7160	7319	0.9766149647207828	663	15573
CAVATN01.fasta	0.9775595646579864	0.2229482482279367	0.0068036580639832	2631678	47	41	0	2.8312018763875355	0.0017483627885719	0.0728831566779825	0.5781835851883144	0.0	0.96927608769323	0.9740830531008056		False	464.0	31.323275862068964	0.8170549463543894	0.9847759624444744	5893	4971	4910	2145	10654	11153	0.9620644768301704	7055	26358
CAVAUN01.fasta	1.2517938493512744	0.5884796364117224	0.003392475975305	1761993	192	183	1	1.4774319969537806	0.0011253568674194	0.0371176275955693	0.668899713448798	0.0	0.9844650693414474	0.9861928716686288		False					1016	903	899	243	8892	9026	0.9791860959266746	1142	19204
CAVAZJ01.fasta	1.9168272344854187	0.7134342044933517	0.0020113637948725	2198448	84	82	1	2.07514056380644	0.0014049319183379	0.0972636150593509	0.8159519562374556	0.0	0.9979703407863292	0.9986578060038628		False	48.0	14.708333333333334	0.944983219896146	1.0	434	287	286	499	16795	16917	0.9947377220427268	785	35187
CAVBEH01.fasta	1.6317089703339578	0.5902908347468624	0.0010522159270987	2739597	52	46	1	1.973011901548444	0.0011942970015649	0.0923205128345519	0.763261475915062	0.0	0.9585799518426702	0.9587578730117308		False	22.0	44.40909090909091	0.8690844170646295	1.0	10476	10431	10423	216	17886	18885	0.9527038739137482	10639	40250
CAVBRB01.fasta	1.3541348337826682	0.6151432238490295	0.0089552311622808	2642053	111	110	1	1.5734405330581018	0.0009721022643809	0.0448488353564443	0.6975081845467297	0.0	0.9786654063953144	0.983416741917244		False	103.0	21.106796116504853	0.5395799308137494	0.9969486823855755	2528	1965	1942	1432	14358	14640	0.974640173844498	3374	30489
CAVBRO01.fasta	4.210696302350688	0.8549698889109802	0.0034360346795719	2902087	116	104	4	3.772911456001924	0.0022236394957799	0.4185646398609001	0.9757186043985396	0.0009154117088087	0.9861720195173996	0.9879790336960808		False	1137.0	79.60334212840809	0.4545688062022346	0.9680241918425616	16797	14602	14538	5419	48977	49654	0.9809388185615682	19957	102262
CAVBSP01.fasta	3.676136662894682	0.7046639608394555	0.0038327088319165	2506196	40	40	3	3.586669351934144	0.0022692282125085	0.3735869022215341	0.9610715009552192	0.0	0.9829645341894856	0.9847791584159472		False	40.0	33.7	0.3335989258647733	0.9612413847117794	15950	14251	14193	4371	37141	37944	0.9786035814658436	18564	80393
CAVBVC01.fasta	2.1210723251557653	0.6744262288959709	0.0016192466460417	3748751	50	48	2	2.345113885876999	0.0012128322181421	0.1443456767333973	0.8463237040415008	0.0001299786995568	0.9885403499434502	0.9889210446558594		False	43.0	50.372093023255815	0.7107297716184531	1.0	6201	5995	5987	767	31724	32061	0.983789971829257	6754	67588
CAVBVL01.fasta	4.182991362734206	0.7501769762346199	0.0018459633603841	2907170	96	86	4	3.776651454785994	0.0022223407116843	0.4272240701438168	0.9751172720615768	0.0	0.9790767085368672	0.979724849900927		False	13.0	9.692307692307692	0.9539473684210528	1.0	25987	25182	25138	2354	48516	49237	0.975644782544638	27492	104091
CAVCGL01.fasta	1.916744661522699	0.4106824556269755	0.0059376171172919	2617694	40	37	0	3.446328886788792	0.0021333494978014	0.1611647503489712	0.815938536450868	0.0	0.9581634588034512	0.9623234095003318		False	97.0	19.23711340206185	0.791106627200789	1.0	17650	15895	15678	4175	20531	23915	0.944177070415684	19853	58449
CAVCJM01.fasta	1.6969045862007814	0.6865485935917898	0.0110879234383464	1748070	69	69	1	1.737963714789579	0.001319722054396	0.0762412260378588	0.7765051146689705	0.0	0.9851960232601764	0.9905083474019885		False	1.0	2.0	0.6315789473684227	1.0	1973	1265	1244	1900	11941	12139	0.9794999708216044	3144	25314
CAVCJP01.fasta	1.3945380341044338	0.5366949700514747	0.0015510642172033	2678596	373	262	1	1.932066668268814	0.0011972973883671	0.0667129346866791	0.7081096567656695	1.1828878169261765e-05	0.989479398087265	0.9899662557289712		False	32.0	29.3125	0.6649162300358344	1.0	1880	1793	1815	282	14982	15167	0.9842881188229948	2097	31823
CAVCNU01.fasta	3.7370982541244935	0.8398280004311479	0.0086948564326975	3655358	252	250	3	3.189785566407686	0.0016800083650204	0.3490487115078742	0.9631115859045778	0.0006209517451836	0.9903409206692072	0.9942197573787246		False	995.0	42.41105527638191	0.4259530026107803	0.9130570209460758	12324	7375	7338	15572	56081	56830	0.9830869223403635	22910	120492
CAVCQM01.fasta	0.8843317000537028	0.4909072514029727	0.0047545301671514	2342526	35	35	0	1.2119066481391043	0.000793006793197	0.0142162776421691	0.5419902885930374	0.0	0.9855263948111224	0.9884391327848177		False	43.0	21.79069767441861	0.3268282757886666	1.0	482	385	383	215	8334	8467	0.9833445576526412	598	17401
CAVCRQ01.fasta	10.778481919620925	0.9415171796355536	0.0122598089250751	1465456	12	12	11	6.113954250372972	0.0050546589534089	0.8421426504787588	0.9999264392921138	0.0	0.9831694247656028	0.9908599061843916	2.2895209035923427	False	4338.0	25.059935454126325	0.4571862350903935	0.9731240522005536	20771	11280	10910	29718	63176	64042	0.9790376538063456	40628	133371
CAVCRU01.fasta	2.9113653771452115	0.5741551374836987	0.006663361972283	3560313	46	44	1	4.740069183866925	0.0025153735828663	0.2036079412119103	0.9235207355642948	0.0003083306193235	0.9798677901195738	0.9847911735006372		False	1187.0	26.53833192923336	0.8038233915820645	0.996917919429172	14594	11025	10854	8091	41761	42729	0.9779873395237836	18945	95386
CAVCRX01.fasta	2.6234652252389274	0.8272229503560594	0.0014982428268339	1683146	77	75	2	2.201727097048867	0.0017048990302983	0.1787307815245973	0.9013838062344632	0.0	0.9740351693647576	0.9742312934215338		False	53.0	12.132075471698114	1.0000000000000002	1.0	7811	7752	7741	409	17733	18034	0.9699774250752582	8150	37439
CAVDBL01.fasta	0.8953666328537778	0.402391736170011	0.0028704092109436	2995899	44	36	0	1.5610134512003853	0.0009031958009574	0.0332915094934775	0.5464313926790897	0.000149475070582	0.965820449577894	0.9670035492991638		False	18.0	24.22222222222222	0.3395979192176416	0.9893518518518518	3409	3291	3282	319	10905	11274	0.9556951661477844	3601	24869
CAVDCP01.fasta	2.444093296221656	0.7523105002060033	0.0010112280357735	2681995	43	43	2	2.4098718387033404	0.0014738811418013	0.1746833979929119	0.8844595253531607	0.0	0.9930053361792957	0.993092849519744		False	34.0	31.147058823529413	0.3539928644879133	0.985867895545315	3277	3236	3234	279	26748	26899	0.9906353540320512	3513	58917
CAVDDQ01.fasta	3.409368667697131	0.8073259453052887	0.0016820438823947	1830890	23	21	3	2.8392678287359834	0.0021009785084426	0.3187176728257841	0.9507316077105444	0.0	0.988615974651136	0.9889518573800804		False	1.0	27.0	0.4499999999999995	1.0	6643	6447	6442	744	24924	25124	0.9820650114347492	7186	51381
CAVDHG01.fasta	1.0441346200446229	0.3304041485250467	0.0110122048050829	1671341	180	175	0	2.0962677907599945	0.0016392407120408	0.0740225962266227	0.6022656144576642	0.0	0.9484711074468344	0.9538381952359012		False	6.0	23.5	0.0519290523226835	1.0	6375	5711	5544	2000	7274	9772	0.930876119660394	7544	26487
CAVDJI01.fasta	1.269479308723466	0.4726404234275945	0.00934130224245	1110178	224	216	0	2.826129401840857	0.002738043760529	0.0561054173294732	0.6740300988383253	0.0001512212006799	0.9782458618973462	0.9826769630902116		False	775.0	32.38967741935484	0.2720946252374597	0.9298349728600376	1355	1079	1063	966	5692	5819	0.9748091764720508	2029	13246
