genome	name1	name2	coverage_overlap	compared_bases_count	consensus_SNPs	population_SNPs	popANI	conANI	percent_compared
GUT_GENOME000031.fna	L33234_positive.sorted.bam	L33235_positive.sorted.bam	0.3216687228360768	745073	47	1	0.9999986578496335	0.9999369189327757	0.18371901093403212
GUT_GENOME000031.fna	L33234_positive.sorted.bam	L33236_positive.sorted.bam	0.09356583573274585	78096	11	1	0.9999871952468756	0.999859147715632	0.01925679749219764
GUT_GENOME000031.fna	L33234_positive.sorted.bam	L33237_positive.sorted.bam	0.31354144820232543	468500	41	7	0.9999850586979723	0.9999124866595518	0.11552204498430897
GUT_GENOME000031.fna	L33235_positive.sorted.bam	L33236_positive.sorted.bam	0.07765235863355884	168514	40	8	0.9999525261996036	0.999762630998018	0.04155193572782464
GUT_GENOME000031.fna	L33235_positive.sorted.bam	L33237_positive.sorted.bam	0.4876365818300143	1146929	29	1	0.9999991281064478	0.9999747150869844	0.28280807584164036
GUT_GENOME000031.fna	L33236_positive.sorted.bam	L33237_positive.sorted.bam	0.09459659475986218	112306	25	4	0.9999643830249497	0.9997773939059356	0.027692249272161802
GUT_GENOME006956.fna	L33235_positive.sorted.bam	L33237_positive.sorted.bam	0.9986455981941308	4424	0	0	1.0	1.0	0.7730211427572952
GUT_GENOME096248.fna	L33234_positive.sorted.bam	L33235_positive.sorted.bam	0.813192540004124	160910	37	0	1.0	0.9997700577962836	0.05705923153190083
GUT_GENOME096248.fna	L33234_positive.sorted.bam	L33236_positive.sorted.bam	0.7996393339547022	137894	41	0	1.0	0.9997026701669398	0.048897679900938
GUT_GENOME096248.fna	L33234_positive.sorted.bam	L33237_positive.sorted.bam	0.886512138510733	162156	31	0	1.0	0.9998088260687239	0.05750106735620478
GUT_GENOME096248.fna	L33235_positive.sorted.bam	L33236_positive.sorted.bam	0.7416269469080489	138485	41	2	0.9999855580026717	0.9997039390547713	0.04910725050460062
GUT_GENOME096248.fna	L33235_positive.sorted.bam	L33237_positive.sorted.bam	0.8457462766669616	165264	42	0	1.0	0.9997458611675865	0.058603174693232604
GUT_GENOME096248.fna	L33236_positive.sorted.bam	L33237_positive.sorted.bam	0.8019276267632239	138879	41	8	0.999942395898588	0.9997047789802634	0.04924696424037571
GUT_GENOME141005.fna	L33234_positive.sorted.bam	L33235_positive.sorted.bam	0.9988692296268996	2791395	165	2	0.9999992835123657	0.9999408897701687	0.9249326693934679
GUT_GENOME141005.fna	L33234_positive.sorted.bam	L33236_positive.sorted.bam	0.9989553373594209	2789372	162	1	0.9999996414963654	0.9999419224112094	0.9242623454908375
GUT_GENOME141005.fna	L33234_positive.sorted.bam	L33237_positive.sorted.bam	0.9992607220364979	2791201	154	2	0.9999992834625668	0.9999448266176459	0.9248683872199086
GUT_GENOME141005.fna	L33235_positive.sorted.bam	L33236_positive.sorted.bam	0.9984584499100017	2789634	139	0	1.0	0.9999501726749818	0.9243491595602834
GUT_GENOME141005.fna	L33235_positive.sorted.bam	L33237_positive.sorted.bam	0.9994040850773239	2792358	128	2	0.9999992837594607	0.9999541606054811	0.9252517608013933
GUT_GENOME141005.fna	L33236_positive.sorted.bam	L33237_positive.sorted.bam	0.9989278589443386	2789549	156	1	0.9999996415191129	0.9999440769816196	0.9243209946904251
GUT_GENOME142031.fna	L33235_positive.sorted.bam	L33237_positive.sorted.bam	0.024090592387850576	15732	0	0	1.0	1.0	0.003180682670091312
GUT_GENOME143383.fna	L33234_positive.sorted.bam	L33235_positive.sorted.bam	0.9970002516582317	5996413	426	6	0.999998999401809	0.9999289575284425	0.9090814407190405
GUT_GENOME143383.fna	L33234_positive.sorted.bam	L33236_positive.sorted.bam	0.9903851360942578	5940292	305	5	0.9999991582905352	0.999948655722648	0.9005732609898269
GUT_GENOME143383.fna	L33234_positive.sorted.bam	L33237_positive.sorted.bam	0.9978153425620351	5994923	383	11	0.9999981651140474	0.9999361126072845	0.9088555504498628
GUT_GENOME143383.fna	L33235_positive.sorted.bam	L33236_positive.sorted.bam	0.9888238330469061	5941009	283	3	0.999999495035271	0.9999523649938925	0.9006819612066057
GUT_GENOME143383.fna	L33235_positive.sorted.bam	L33237_positive.sorted.bam	0.9978503612182292	6001447	470	5	0.9999991668675904	0.9999216855535007	0.9098446162996051
GUT_GENOME143383.fna	L33236_positive.sorted.bam	L33237_positive.sorted.bam	0.98975541449464	5940577	294	3	0.9999994949985498	0.9999505098578808	0.9006164681889649
