genome name1 name2 coverage_overlap compared_bases_count consensus_SNPs population_SNPs popANI conANI percent_compared tid1 animal1 exhibit1 date1 tid2 animal2 exhibit2 date2 timediff dyad sample1 sample2
CAVADF01.fasta NA000356 NA000361 0.589278292936421 968913 115 18 0.999981422480656 0.999881310293081 0.439094324026326 T001075 Kibara Gorilla 2025-02-28 T001086 Kibara Gorilla 2025-03-08 8 Kibara/Kibara Kibara_28Feb25 Kibara_08Mar25
CAVAFE01.fasta NA000356 NA000358 0.5060853506303749 1093373 88 3 0.999997256197107 0.9999195151151529 0.347841288323455 T001075 Kibara Gorilla 2025-02-28 T001077 Kibara Gorilla 2025-03-01 1 Kibara/Kibara Kibara_28Feb25 Kibara_01Mar25
CAVAFE01.fasta NA000356 NA000375 0.8041269667914048 1913242 134 7 0.999996341288765 0.9999299618135081 0.608671114207635 T001075 Kibara Gorilla 2025-02-28 T001165 Kumili Gorilla 2025-03-31 31 Kibara/Kumili Kibara_28Feb25 Kumili_31Mar25
CAVAFE01.fasta NA000358 NA000375 0.5080074272745118 1128000 132 6 0.999994680851064 0.9998829787234043 0.358857382822566 T001077 Kibara Gorilla 2025-03-01 T001165 Kumili Gorilla 2025-03-31 30 Kibara/Kumili Kibara_01Mar25 Kumili_31Mar25
CAVAII01.fasta NA000353 NA000407 0.45531251104954373 580778 77 6 0.999989669030163 0.999867419220425 0.290766851523555 T001072 Kio Gorilla 2025-02-26 T001059 Diara Gorilla 2025-02-20 6 Diara/Kio Kio_26Feb25 Diara_20Feb25
CAVAII01.fasta NA000358 NA000407 0.4294509673480464 545266 79 1 0.999998166032725 0.9998551165852997 0.272987747577978 T001077 Kibara Gorilla 2025-03-01 T001059 Diara Gorilla 2025-02-20 9 Diara/Kibara Kibara_01Mar25 Diara_20Feb25
CAVAII01.fasta NA000389 NA000407 0.5012067680609059 678926 98 3 0.999995581256278 0.9998556543717577 0.339904706165662 T001072 Kio Gorilla 2025-02-26 T001059 Diara Gorilla 2025-02-20 6 Diara/Kio Kio_26Feb25 Diara_20Feb25
CAVAIJ01.fasta NA000340 NA000342 0.5711952117378528 941150 815 128 0.999863996174892 0.9991340381448228 0.376964076362912 T001161 Kibara Gorilla 2025-03-29 T001060 Diara Gorilla 2025-02-20 37 Diara/Kibara Kibara_29Mar25 Diara_20Feb25
CAVAIJ01.fasta NA000340 NA000356 0.4869202192284215 844517 13488 637 0.999245722703036 0.9840287406884646 0.338259120095392 T001161 Kibara Gorilla 2025-03-29 T001075 Kibara Gorilla 2025-02-28 29 Kibara/Kibara Kibara_29Mar25 Kibara_28Feb25
CAVAIJ01.fasta NA000340 NA000358 0.4367761211286218 710058 768 109 0.999846491413377 0.9989183982153571 0.284403504366038 T001161 Kibara Gorilla 2025-03-29 T001077 Kibara Gorilla 2025-03-01 28 Kibara/Kibara Kibara_29Mar25 Kibara_01Mar25
CAVAIJ01.fasta NA000340 NA000380 0.37484375327630215 631669 4367 176 0.999721373060891 0.9930865690733596 0.253005919515576 T001161 Kibara Gorilla 2025-03-29 T001182 Kianga Gorilla 2025-04-08 10 Kianga/Kibara Kibara_29Mar25 Kianga_08Apr25
CAVAIJ01.fasta NA000340 NA000407 0.6853779381165889 1138877 1114 188 0.999834925106047 0.9990218434475365 0.456160778192599 T001161 Kibara Gorilla 2025-03-29 T001059 Diara Gorilla 2025-02-20 37 Diara/Kibara Kibara_29Mar25 Diara_20Feb25
CAVAIJ01.fasta NA000342 NA000407 0.6803769473912512 841661 206 4 0.999995247492755 0.9997552458769029 0.337115190432647 T001060 Diara Gorilla 2025-02-20 T001059 Diara Gorilla 2025-02-20 0 Diara/Diara Diara_20Feb25 Diara_20Feb25
CAVAIJ01.fasta NA000356 NA000407 0.49846767697851274 651981 10174 2939 0.995492199926072 0.984395250781848 0.261141598545575 T001075 Kibara Gorilla 2025-02-28 T001059 Diara Gorilla 2025-02-20 8 Diara/Kibara Kibara_28Feb25 Diara_20Feb25
CAVAIJ01.fasta NA000358 NA000407 0.5396599826762399 644323 344 38 0.999941023368714 0.9994661062852017 0.258074296949881 T001077 Kibara Gorilla 2025-03-01 T001059 Diara Gorilla 2025-02-20 9 Diara/Kibara Kibara_01Mar25 Diara_20Feb25
CAVAUN01.fasta NA000340 NA000356 0.6484028642514089 834508 741 32 0.999961654052448 0.9991120516519914 0.476012507971493 T001161 Kibara Gorilla 2025-03-29 T001075 Kibara Gorilla 2025-02-28 29 Kibara/Kibara Kibara_29Mar25 Kibara_28Feb25
CAVAUN01.fasta NA000356 NA000389 0.44519623996705404 549835 5035 1072 0.998050324188166 0.9908427073576619 0.313631909245335 T001075 Kibara Gorilla 2025-02-28 T001072 Kio Gorilla 2025-02-26 2 Kibara/Kio Kibara_28Feb25 Kio_26Feb25
CAVAZJ01.fasta NA000331 NA000353 0.44185690037270253 761158 508 12 0.999984234547886 0.9993325958605178 0.346225155200396 T001070 Kibara Gorilla 2025-02-25 T001072 Kio Gorilla 2025-02-26 1 Kibara/Kio Kibara_25Feb25 Kio_26Feb25
CAVAZJ01.fasta NA000331 NA000356 0.9199345748491856 1831410 963 13 0.999992901644088 0.9994741756351664 0.833046767537827 T001070 Kibara Gorilla 2025-02-25 T001075 Kibara Gorilla 2025-02-28 3 Kibara/Kibara Kibara_25Feb25 Kibara_28Feb25
CAVAZJ01.fasta NA000331 NA000358 0.7692059389881442 1398375 1399 111 0.999920622150711 0.9989995530526504 0.636073721097793 T001070 Kibara Gorilla 2025-02-25 T001077 Kibara Gorilla 2025-03-01 4 Kibara/Kibara Kibara_25Feb25 Kibara_01Mar25
CAVAZJ01.fasta NA000331 NA000359 0.38791658847637167 657442 387 15 0.999977184299147 0.9994113549180004 0.299048237665844 T001070 Kibara Gorilla 2025-02-25 T001078 Diara Gorilla 2025-03-01 4 Diara/Kibara Kibara_25Feb25 Diara_01Mar25
CAVAZJ01.fasta NA000331 NA000361 0.9238102129728818 1822544 1254 10 0.999994513164017 0.9993119507677181 0.829013922548998 T001070 Kibara Gorilla 2025-02-25 T001086 Kibara Gorilla 2025-03-08 11 Kibara/Kibara Kibara_25Feb25 Kibara_08Mar25
CAVAZJ01.fasta NA000331 NA000389 0.4988870473240028 869471 517 25 0.9999712468846 0.9994053855735269 0.395493093309462 T001070 Kibara Gorilla 2025-02-25 T001072 Kio Gorilla 2025-02-26 1 Kibara/Kio Kibara_25Feb25 Kio_26Feb25
CAVAZJ01.fasta NA000331 NA000392 0.7908407099431188 1450566 829 11 0.999992416753185 0.9994284989445499 0.659813650356979 T001070 Kibara Gorilla 2025-02-25 T001075 Kibara Gorilla 2025-02-28 3 Kibara/Kibara Kibara_25Feb25 Kibara_28Feb25
CAVAZJ01.fasta NA000331 NA000394 0.3578918305378626 585977 659 59 0.999899313454282 0.9988753824808824 0.266541214529523 T001070 Kibara Gorilla 2025-02-25 T001077 Kibara Gorilla 2025-03-01 4 Kibara/Kibara Kibara_25Feb25 Kibara_01Mar25
CAVAZJ01.fasta NA000331 NA000407 0.7269750007204808 1314732 1153 78 0.99994067231953 0.9991230151848438 0.598027335647693 T001070 Kibara Gorilla 2025-02-25 T001059 Diara Gorilla 2025-02-20 5 Diara/Kibara Kibara_25Feb25 Diara_20Feb25
CAVAZJ01.fasta NA000353 NA000356 0.42691782812869994 779577 503 7 0.999991020771521 0.9993547782964352 0.354603338355058 T001072 Kio Gorilla 2025-02-26 T001075 Kibara Gorilla 2025-02-28 2 Kibara/Kio Kio_26Feb25 Kibara_28Feb25
CAVAZJ01.fasta NA000353 NA000358 0.4434460204816545 654905 534 76 0.999883952634352 0.9991846145624175 0.297894241756002 T001072 Kio Gorilla 2025-02-26 T001077 Kibara Gorilla 2025-03-01 3 Kibara/Kio Kio_26Feb25 Kibara_01Mar25
