genome name1 name2 coverage_overlap compared_bases_count consensus_SNPs population_SNPs popANI conANI percent_compared tid1 animal1 exhibit1 date1 tid2 animal2 exhibit2 date2 timediff dyad sample1 sample2
CAVAFY01.fasta NA000336 NA000352 0.7632485994187659 865440 77 13 0.999984978739138 0.9999110279164356 0.451551975122483 T001088 Sumai Bonobo 2025-03-08 T001071 Jasongo Bonobo 2025-02-25 11 Jasongo/Sumai Sumai_08Mar25 Jasongo_25Feb25
CAVAFY01.fasta NA000336 NA000364 0.759719762540205 920623 34 2 0.999997827558078 0.9999630684873179 0.480344257248551 T001088 Sumai Bonobo 2025-03-08 T001093 Sumai Bonobo 2025-03-11 3 Sumai/Sumai Sumai_08Mar25 Sumai_11Mar25
CAVAFY01.fasta NA000336 NA000365 0.7266354138335676 935405 23 0 1 0.9999754117200571 0.488056913580891 T001088 Sumai Bonobo 2025-03-08 T001094 Sumai Bonobo 2025-03-12 4 Sumai/Sumai Sumai_08Mar25 Sumai_12Mar25
CAVAFY01.fasta NA000336 NA000367 0.7143971298798703 773952 39 1 0.999998707930208 0.9999496092780947 0.403817196166108 T001088 Sumai Bonobo 2025-03-08 T001096 Luiza Bonobo 2025-03-14 6 Luiza/Sumai Sumai_08Mar25 Luiza_14Mar25
CAVAFY01.fasta NA000336 NA000368 0.6928184404517606 740390 45 3 0.999995948081417 0.9999392212212482 0.386305887018089 T001088 Sumai Bonobo 2025-03-08 T001097 Gerda Bonobo 2025-03-14 6 Gerda/Sumai Sumai_08Mar25 Gerda_14Mar25
CAVAFY01.fasta NA000336 NA000370 0.7708774167900362 901276 27 0 1 0.9999700424731159 0.4702497665124 T001088 Sumai Bonobo 2025-03-08 T001159 Sumai Bonobo 2025-03-24 16 Sumai/Sumai Sumai_08Mar25 Sumai_24Mar25
CAVAFY01.fasta NA000336 NA000374 0.7648813217032199 874222 91 6 0.999993136754737 0.9998959074468499 0.456134071449814 T001088 Sumai Bonobo 2025-03-08 T001164 Gerda Bonobo 2025-03-30 22 Gerda/Sumai Sumai_08Mar25 Gerda_30Mar25
CAVAFY01.fasta NA000336 NA000378 0.7704173661857617 894109 47 3 0.999996644704393 0.9999474337021549 0.466510312586417 T001088 Sumai Bonobo 2025-03-08 T001168 Kuno Bonobo 2025-04-03 26 Kuno/Sumai Sumai_08Mar25 Kuno_03Apr25
CAVAFY01.fasta NA000336 NA000395 0.760681388477349 918451 34 0 1 0.9999629811497837 0.479210994526738 T001088 Sumai Bonobo 2025-03-08 T001094 Sumai Bonobo 2025-03-12 4 Sumai/Sumai Sumai_08Mar25 Sumai_12Mar25
CAVAFY01.fasta NA000336 NA000397 0.7265048295787074 933325 40 1 0.999998928561862 0.9999571424744864 0.486971652779155 T001088 Sumai Bonobo 2025-03-08 T001096 Luiza Bonobo 2025-03-14 6 Luiza/Sumai Sumai_08Mar25 Luiza_14Mar25
CAVAFY01.fasta NA000336 NA000398 0.7355658749201495 932950 46 0 1 0.9999506940350501 0.486775992778842 T001088 Sumai Bonobo 2025-03-08 T001097 Gerda Bonobo 2025-03-14 6 Gerda/Sumai Sumai_08Mar25 Gerda_14Mar25
CAVAFY01.fasta NA000336 NA000400 0.7560102918347638 918630 25 0 1 0.9999727855611072 0.479304389566887 T001088 Sumai Bonobo 2025-03-08 T001159 Sumai Bonobo 2025-03-24 16 Sumai/Sumai Sumai_08Mar25 Sumai_24Mar25
CAVAFY01.fasta NA000336 NA000402 0.6068116481981384 622156 38 6 0.999990356116472 0.9999389220709919 0.324616115079386 T001088 Sumai Bonobo 2025-03-08 T001168 Kuno Bonobo 2025-04-03 26 Kuno/Sumai Sumai_08Mar25 Kuno_03Apr25
CAVAFY01.fasta NA000352 NA000364 0.8473304728179486 1043840 96 19 0.999981797976701 0.9999080318822808 0.544633959271414 T001071 Jasongo Bonobo 2025-02-25 T001093 Sumai Bonobo 2025-03-11 14 Jasongo/Sumai Jasongo_25Feb25 Sumai_11Mar25
CAVAFY01.fasta NA000352 NA000365 0.823295831129574 1070258 116 18 0.999983181625365 0.9998916149190196 0.558417814973469 T001071 Jasongo Bonobo 2025-02-25 T001094 Sumai Bonobo 2025-03-12 15 Jasongo/Sumai Jasongo_25Feb25 Sumai_12Mar25
CAVAFY01.fasta NA000352 NA000367 0.7566857148430967 859999 77 19 0.999977906951055 0.9999104650121686 0.448713078957941 T001071 Jasongo Bonobo 2025-02-25 T001096 Luiza Bonobo 2025-03-14 17 Jasongo/Luiza Jasongo_25Feb25 Luiza_14Mar25
CAVAFY01.fasta NA000352 NA000368 0.7283531755772401 820618 85 20 0.99997562812417 0.9998964195277218 0.428165648365065 T001071 Jasongo Bonobo 2025-02-25 T001097 Gerda Bonobo 2025-03-14 17 Gerda/Jasongo Jasongo_25Feb25 Gerda_14Mar25
CAVAFY01.fasta NA000352 NA000370 0.8512282000386007 1017143 85 17 0.999983286519201 0.9999164325960067 0.530704532529127 T001071 Jasongo Bonobo 2025-02-25 T001159 Sumai Bonobo 2025-03-24 27 Jasongo/Sumai Jasongo_25Feb25 Sumai_24Mar25
CAVAFY01.fasta NA000352 NA000374 0.8355795742013407 982298 146 15 0.999984729684882 0.9998513689328493 0.512523805300038 T001071 Jasongo Bonobo 2025-02-25 T001164 Gerda Bonobo 2025-03-30 33 Gerda/Jasongo Jasongo_25Feb25 Gerda_30Mar25
CAVAFY01.fasta NA000352 NA000378 0.8457250502935378 1006673 102 22 0.999978145832857 0.9998986761341567 0.525241705320387 T001071 Jasongo Bonobo 2025-02-25 T001168 Kuno Bonobo 2025-04-03 37 Jasongo/Kuno Jasongo_25Feb25 Kuno_03Apr25
CAVAFY01.fasta NA000352 NA000395 0.8460426808480882 1040108 106 17 0.999983655543463 0.9998980875062974 0.542686750948299 T001071 Jasongo Bonobo 2025-02-25 T001094 Sumai Bonobo 2025-03-12 15 Jasongo/Sumai Jasongo_25Feb25 Sumai_12Mar25
CAVAFY01.fasta NA000352 NA000397 0.8229720646913509 1067801 128 20 0.999981269918271 0.9998801274769362 0.557135850651417 T001071 Jasongo Bonobo 2025-02-25 T001096 Luiza Bonobo 2025-03-14 17 Jasongo/Luiza Jasongo_25Feb25 Luiza_14Mar25
CAVAFY01.fasta NA000352 NA000398 0.829612104126967 1064649 123 16 0.999984971572791 0.9998844689658282 0.555491263128786 T001071 Jasongo Bonobo 2025-02-25 T001097 Gerda Bonobo 2025-03-14 17 Gerda/Jasongo Jasongo_25Feb25 Gerda_14Mar25
CAVAFY01.fasta NA000352 NA000400 0.8445213003763894 1043091 102 19 0.99998178490659 0.9999022137090627 0.544243161030789 T001071 Jasongo Bonobo 2025-02-25 T001159 Sumai Bonobo 2025-03-24 27 Jasongo/Sumai Jasongo_25Feb25 Sumai_24Mar25
CAVAFY01.fasta NA000352 NA000402 0.6223218009282936 683895 65 19 0.999972217957435 0.9999049561701723 0.356829055770926 T001071 Jasongo Bonobo 2025-02-25 T001168 Kuno Bonobo 2025-04-03 37 Jasongo/Kuno Jasongo_25Feb25 Kuno_03Apr25
CAVAFY01.fasta NA000364 NA000365 0.9104264242618011 1194971 53 1 0.999999163159608 0.999955647459227 0.623488069957581 T001093 Sumai Bonobo 2025-03-11 T001094 Sumai Bonobo 2025-03-12 1 Sumai/Sumai Sumai_11Mar25 Sumai_12Mar25
CAVAFY01.fasta NA000364 NA000367 0.7513350103792921 913319 46 4 0.999995620369225 0.9999496342460849 0.476533322202453 T001093 Sumai Bonobo 2025-03-11 T001096 Luiza Bonobo 2025-03-14 3 Luiza/Sumai Sumai_11Mar25 Luiza_14Mar25
CAVAFY01.fasta NA000364 NA000368 0.7180577753706864 869765 58 8 0.999990802113214 0.9999333153208051 0.453808587126094 T001093 Sumai Bonobo 2025-03-11 T001097 Gerda Bonobo 2025-03-14 3 Gerda/Sumai Sumai_11Mar25 Gerda_14Mar25
CAVAFY01.fasta NA000364 NA000370 0.886559452749203 1102982 23 1 0.999999093366891 0.9999791474384895 0.575491889240787 T001093 Sumai Bonobo 2025-03-11 T001159 Sumai Bonobo 2025-03-24 13 Sumai/Sumai Sumai_11Mar25 Sumai_24Mar25
CAVAFY01.fasta NA000364 NA000374 0.8589653828093003 1059356 121 8 0.99999244824214 0.9998857796623609 0.552729587444367 T001093 Sumai Bonobo 2025-03-11 T001164 Gerda Bonobo 2025-03-30 19 Gerda/Sumai Sumai_11Mar25 Gerda_30Mar25
CAVAFY01.fasta NA000364 NA000378 0.8784683782910911 1090765 68 7 0.999993582485687 0.9999376584323846 0.569117547310588 T001093 Sumai Bonobo 2025-03-11 T001168 Kuno Bonobo 2025-04-03 23 Kuno/Sumai Sumai_11Mar25 Kuno_03Apr25
CAVAFY01.fasta NA000364 NA000395 0.9097250428234063 1145766 38 5 0.999995636107198 0.999966834414706 0.597814869116504 T001093 Sumai Bonobo 2025-03-11 T001094 Sumai Bonobo 2025-03-12 1 Sumai/Sumai Sumai_11Mar25 Sumai_12Mar25
CAVAFY01.fasta NA000364 NA000397 0.9138131557156663 1195392 66 3 0.999997490362994 0.9999447879858657 0.623707730917932 T001093 Sumai Bonobo 2025-03-11 T001096 Luiza Bonobo 2025-03-14 3 Luiza/Sumai Sumai_11Mar25 Luiza_14Mar25
CAVAFY01.fasta NA000364 NA000398 0.9179967056597275 1189563 71 2 0.999998318710316 0.999940314216229 0.620666391873066 T001093 Sumai Bonobo 2025-03-11 T001097 Gerda Bonobo 2025-03-14 3 Gerda/Sumai Sumai_11Mar25 Gerda_14Mar25
CAVAFY01.fasta NA000364 NA000400 0.9136474062379226 1152773 41 1 0.999999132526525 0.999964433587532 0.601470841442353 T001093 Sumai Bonobo 2025-03-11 T001159 Sumai Bonobo 2025-03-24 13 Sumai/Sumai Sumai_11Mar25 Sumai_24Mar25
CAVAFY01.fasta NA000364 NA000402 0.6002464480678465 717473 44 7 0.999990243535297 0.999938673650437 0.374348713078958 T001093 Sumai Bonobo 2025-03-11 T001168 Kuno Bonobo 2025-04-03 23 Kuno/Sumai Sumai_11Mar25 Kuno_03Apr25
CAVAFY01.fasta NA000365 NA000367 0.7205225888948504 930036 54 1 0.999998924772804 0.9999419377314427 0.485255584136409 T001094 Sumai Bonobo 2025-03-12 T001096 Luiza Bonobo 2025-03-14 2 Luiza/Sumai Sumai_12Mar25 Luiza_14Mar25
CAVAFY01.fasta NA000365 NA000368 0.6861575699926722 883669 66 7 0.999992078481875 0.9999253114005358 0.461063138177701 T001094 Sumai Bonobo 2025-03-12 T001097 Gerda Bonobo 2025-03-14 2 Gerda/Sumai Sumai_12Mar25 Gerda_14Mar25
CAVAFY01.fasta NA000365 NA000370 0.8723098446906742 1137938 34 0 1 0.9999701213950145 0.593730531829969 T001094 Sumai Bonobo 2025-03-12 T001159 Sumai Bonobo 2025-03-24 12 Sumai/Sumai Sumai_12Mar25 Sumai_24Mar25
CAVAFY01.fasta NA000365 NA000374 0.8346865272005739 1085877 130 8 0.999992632683075 0.9998802810999773 0.566567184426507 T001094 Sumai Bonobo 2025-03-12 T001164 Gerda Bonobo 2025-03-30 18 Gerda/Sumai Sumai_12Mar25 Gerda_30Mar25
CAVAFY01.fasta NA000365 NA000378 0.8608105740926617 1123194 82 4 0.999996438727415 0.9999269939120046 0.58603770237766 T001094 Sumai Bonobo 2025-03-12 T001168 Kuno Bonobo 2025-04-03 22 Kuno/Sumai Sumai_12Mar25 Kuno_03Apr25
CAVAFY01.fasta NA000365 NA000395 0.9068350513622663 1189672 48 2 0.999998318864359 0.9999596527446221 0.620723263713157 T001094 Sumai Bonobo 2025-03-12 T001094 Sumai Bonobo 2025-03-12 0 Sumai/Sumai Sumai_12Mar25 Sumai_12Mar25
CAVAFY01.fasta NA000365 NA000397 0.9478230462205082 1266225 99 2 0.999998420501885 0.9999218148433335 0.660665557057065 T001094 Sumai Bonobo 2025-03-12 T001096 Luiza Bonobo 2025-03-14 2 Luiza/Sumai Sumai_12Mar25 Luiza_14Mar25
CAVAFY01.fasta NA000365 NA000398 0.9435495762263576 1254215 86 2 0.999998405377069 0.9999314312139466 0.654399219447039 T001094 Sumai Bonobo 2025-03-12 T001097 Gerda Bonobo 2025-03-14 2 Gerda/Sumai Sumai_12Mar25 Gerda_14Mar25
CAVAFY01.fasta NA000365 NA000400 0.9104092492110201 1196154 59 3 0.999997491961737 0.9999506752475016 0.624105312038568 T001094 Sumai Bonobo 2025-03-12 T001159 Sumai Bonobo 2025-03-24 12 Sumai/Sumai Sumai_12Mar25 Sumai_24Mar25
CAVAFY01.fasta NA000365 NA000402 0.5710915548713057 726954 43 3 0.999995873191426 0.999940849077108 0.379295519646873 T001094 Sumai Bonobo 2025-03-12 T001168 Kuno Bonobo 2025-04-03 22 Kuno/Sumai Sumai_12Mar25 Kuno_03Apr25
CAVAFY01.fasta NA000367 NA000368 0.6931770812138285 738399 38 6 0.999991874311856 0.9999485373084199 0.385267062856427 T001096 Luiza Bonobo 2025-03-14 T001097 Gerda Bonobo 2025-03-14 0 Gerda/Luiza Luiza_14Mar25 Gerda_14Mar25
CAVAFY01.fasta NA000367 NA000370 0.762962183236918 894073 40 1 0.999998881523097 0.9999552609238843 0.466491529226386 T001096 Luiza Bonobo 2025-03-14 T001159 Sumai Bonobo 2025-03-24 10 Luiza/Sumai Luiza_14Mar25 Sumai_24Mar25
CAVAFY01.fasta NA000367 NA000374 0.7584706691025033 868081 110 7 0.999991936236365 0.9998732837143077 0.452929943284688 T001096 Luiza Bonobo 2025-03-14 T001164 Gerda Bonobo 2025-03-30 16 Gerda/Luiza Luiza_14Mar25 Gerda_30Mar25
CAVAFY01.fasta NA000367 NA000378 0.7634414147580406 887912 35 0 1 0.9999605816792655 0.463276965861243 T001096 Luiza Bonobo 2025-03-14 T001168 Kuno Bonobo 2025-04-03 20 Kuno/Luiza Luiza_14Mar25 Kuno_03Apr25
CAVAFY01.fasta NA000367 NA000395 0.7518535107393879 911105 52 1 0.999998902431663 0.9999429264464579 0.475378145560605 T001096 Luiza Bonobo 2025-03-14 T001094 Sumai Bonobo 2025-03-12 2 Luiza/Sumai Luiza_14Mar25 Sumai_12Mar25
CAVAFY01.fasta NA000367 NA000397 0.7206565508157414 928291 36 3 0.999996768254782 0.9999612190573861 0.484345112934952 T001096 Luiza Bonobo 2025-03-14 T001096 Luiza Bonobo 2025-03-14 0 Luiza/Luiza Luiza_14Mar25 Luiza_14Mar25
