genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
CAVAAU01.fasta	0.9375636278566992	0.4347506917386639	0.0019215724664998	1239630	32	27	0	1.422291539421814	0.0012807570708044	0.0306333341400256	0.5630203635118028	0.0	0.9840943803655132	0.9844630536682992		False					604	590	590	76	4503	4540	0.9799862100318278	666	9450
CAVAFE01.fasta	0.8307202184116232	0.4313566185743673	0.00179741322736	3155876	222	208	0	1.381220096828327	0.0007830323969376	0.0187976333670904	0.5197872061790946	0.0	0.9695733526625424	0.9707533334457124		False	133.0	40.69172932330827	0.6786557392725073	0.9903100775193798	1805	1735	1730	169	10561	10848	0.9651780594536994	1899	23095
CAVAFO01.fasta	1.3669561245737565	0.5019194435145732	0.0043970801385909	3524980	367	290	1	2.232903515414609	0.001201879834326	0.0708236642477403	0.7009134426434408	0.0001662623261946	0.972689984458366	0.9750612853091504		False	911.0	42.58397365532382	0.4111726592777643	0.9561171846708506	6818	6226	6203	1755	18999	19557	0.965921484270848	7958	42507
CAVAIJ01.fasta	2.4933641265099693	0.7166683288893909	0.0136394026435402	2496657	100	99	2	2.793291132079363	0.001774938698492	0.1958482883311564	0.8893784678241474	9.165355562657108e-05	0.9779739286576162	0.9868334403619066		False	93.0	41.32258064516129	0.7488677122601136	0.981830393086049	10770	6438	6345	9531	25471	26023	0.9726329345189438	15876	56738
CAVBDA01.fasta	1.093849855796879	0.543981411417774	0.0012547194083068	1850168	96	96	1	1.391831891098751	0.0010286000113926	0.0290606042262107	0.6193478917408137	0.0	0.9893801030371788	0.9896776833373632		False					571	555	561	74	7912	8000	0.9852023631529108	635	16560
CAVBQZ01.fasta	1.6506351386878737	0.6521008433521971	0.0024508909494037	2228962	93	90	1	1.7970088712059076	0.0012087002626244	0.0754867063682556	0.7671849290497373	0.0	0.9810825106830622	0.982116642992565		False					3183	3009	3001	472	14558	14740	0.9768478569577206	3473	30714
CAVBRB01.fasta	1.463825290408633	0.6102765538768525	0.0107534580686082	2642053	111	110	1	1.705355215095441	0.0010536017290378	0.0635683689918407	0.7254323860019563	0.0	0.9740698179826258	0.9808217873070122		False					4355	3221	3176	2607	15387	15724	0.9697540848885092	5783	33184
CAVBRO01.fasta	2.814089653411493	0.783801105893793	0.0045415406536644	2902087	116	97	2	2.494331001304535	0.001470082983587	0.2247754805421064	0.916661209335842	0.0	0.9862919618958852	0.9889026517741348		False	3.0	29.33333333333333	0.999999999999999	1.0000000000000002	8942	7239	7197	4058	32296	32666	0.9820980822434188	11255	67436
CAVBZP01.fasta	0.8235254666281758	0.3922975368797366	0.0141108230783403	2743512	502	488	0	1.6492426912814966	0.0010144411719174	0.0254476743677446	0.5167267194209102	0.0	0.9754354302738628	0.982224704938696		False	459.0	28.55337690631808	0.3754349997546794	0.9347854334335112	1715	1241	1219	1543	9124	9409	0.9681963629601276	2762	21490
CAVCJJ01.fasta	1.2026898851005583	0.4261705568253643	0.0078289457646757	2464938	83	73	0	1.993268566103833	0.0012738849889919	0.0741361446007972	0.6542278229206204	0.0	0.9799388205164686	0.9845464345713332		False	25.0	30.92	0.6831562522441839	0.9688	3666	2824	2791	2100	11938	12133	0.9693845586314012	4891	28032
CAVCJM01.fasta	13.936385270612734	0.9183396545904912	0.0189084239694043	1748070	69	68	14	8.331358366839886	0.0063264136565286	0.8347875085093847	0.99999547470683	0.0008035841431866	0.9791121158773548	0.9933007461965494		False	41023.0	28.12029836920752	0.4758468334022008	0.9621512399446116	30481	9776	9330	60614	96250	98296	0.974886023377364	69944	209061
CAVCQH01.fasta	5.116494365723366	0.6785907031453173	0.0064502532467419	2095655	413	380	4	5.43125737781586	0.0038280065415806	0.4590765178428701	0.9890876982468668	0.0	0.9817538505674248	0.984814971114248		False	983.0	24.51881993896236	0.7573202156103828	0.992843068395992	17554	14609	14592	9720	42927	44079	0.9719961756014844	24312	98292
CAVCRU01.fasta	4.690169375557711	0.6483882175527825	0.0127739693287675	3560313	46	43	2	7.43805979690599	0.0039470941024651	0.3201572446018089	0.9840997358807044	0.0037411245240214	0.9676232168862844	0.9788140648851612		False	20235.0	36.32760069187052	0.7147072082512791	0.9938481669704016	36905	24149	23268	28957	67084	70778	0.9630005149574208	52225	168011
CAVCTP01.fasta	1.9394076962106443	0.6577049409319017	0.0029573118898554	1460433	232	200	1	2.158571730441537	0.0018152517585639	0.122085025468474	0.8195852651200977	0.0	0.9639982725452476	0.9656696411044492		False					6419	6121	6103	681	11090	11432	0.9579870938842148	6784	24433
CAVCWF01.fasta	1.0378180375575936	0.4196309483158222	0.0041999902978119	1900601	232	227	0	1.6790515902575485	0.0012330643792272	0.0528064543794304	0.6000410360105934	0.0	0.9763062452672272	0.97840859272249		False					2378	2167	2162	544	8006	8132	0.9700829948377784	2706	18292
CAVDDQ01.fasta	1.4423777507114026	0.6237682220122455	0.001530843181004	1830890	23	20	1	1.641106804003156	0.0012143729768546	0.0547449601013714	0.7201830260134098	0.0	0.9889655998084445	0.9894544656397158		False					1106	1057	1055	167	10370	10446	0.9847506317616564	1222	21480
CAVDMT01.fasta	1.2664204998431696	0.557027045372571	0.0138287446712589	2254027	126	124	1	1.6059098233956577	0.0010756799458619	0.0492744763039661	0.6731484874778999	0.0	0.9735832748095726	0.981776601300128		False					2934	2024	1990	2136	11370	11717	0.9671604894602536	4126	25946
CAVDNX01.fasta	1.4131368902392405	0.6306604775948464	0.0070997017227383	1896461	107	105	1	1.6701276626890762	0.0012196692784719	0.0502172203910335	0.7128641625805952	0.0	0.9875780962881292	0.9914317215309496		False	31.0	12.580645161290322	0.3626794205698777	1.0	1183	816	809	976	10694	10807	0.984082203158003	1785	22565
CAVDXC01.fasta	1.2486322565075696	0.5368707717097998	0.0131058320499256	3696234	219	209	1	1.7958859514333203	0.0009396965321287	0.0486332845810086	0.6679740938362534	0.0	0.9815921228304406	0.988351134846462		False	994.0	32.019114688128774	0.1961926106359366	0.8660116968005099	3309	2094	2041	3789	18319	18931	0.977033774348094	5830	41593
