genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
CAVAFY01.fasta	5.108972827856103	0.6770636276264317	0.0015281833542795	1938419	65	59	4	5.1614219452435615	0.0037196908827671	0.4807732487145452	0.989014982795844	0.0	0.9599663068437884	0.9601111659548898		False	128.0	20.359375	0.8868064329536143	0.9666619583771244	37309	37174	37129	1287	40708	43946	0.9539920635865884	38416	96846
CAVAHH01.fasta	1.2215499713573394	0.3997446365609443	0.0020391220571643	1983056	322	309	0	2.1469322184457567	0.0015499578518069	0.0854958205920558	0.6599384419624816	0.0	0.956895890717989	0.9576036757636706		False	10.0	14.0	0.9999999999999996	1.0	7308	7188	7173	400	10084	11548	0.9418837315911996	7573	27338
CAVATN01.fasta	0.7893678481941939	0.0947779325586184	0.0020883368865293	2631678	47	37	0	4.225059720713526	0.002609117087975	0.044875930869962	0.5019285856629986	0.0008914268975404	0.9583315692766238	0.958771877831311		False	72.0	28.98611111111111	0.7569292069829813	0.9842826505761332	4921	4869	4851	283	8854	9846	0.9512966628907144	5134	24675
CAVBQZ01.fasta	0.9433094866579153	0.4897207758588975	0.0049584915125167	2228962	93	92	0	1.2865750010285484	0.0008653733248327	0.0207711033207384	0.5652318057540238	0.0	0.980517516955376	0.9832390168041816		False	1.0	24.0	1.000000000000001	1.0000000000000002	902	776	772	300	8573	8771	0.975864203040235	1072	18171
CAVBRO01.fasta	1.14755036633981	0.5443816811832313	0.0035715622147489	2902087	116	103	1	1.5579032132997186	0.0009181808680362	0.0336140853117084	0.6369762331621442	0.0011201899310582	0.984592674600978	0.9865301227050466		False	411.0	46.53284671532847	0.6480165329667569	1.0	1503	1314	1310	491	13612	13921	0.9798418224486996	1801	28612
CAVBSQ01.fasta	0.8791329452527247	0.4423274309255484	0.0023201714301106	1633853	54	49	0	1.351661028120374	0.0010609662649608	0.0228986328635439	0.5398829616466339	0.0	0.9816106700879372	0.9825461737898592		False	1.0	2.0	1.000000000000001	1.0	688	653	649	124	5844	5985	0.975996330527307	773	12802
CAVBVK01.fasta	1.1033852399201256	0.5042157845687709	0.0013169503396746	2037699	95	93	1	1.498042659507491	0.0010543589877942	0.0370442346980589	0.622539430290634	0.0	0.9589852288534144	0.9594356494667814		False					3096	3062	3058	127	9221	9766	0.95134433031621	3185	20943
CAVBZD01.fasta	1.355096874509944	0.6192812260676276	0.0022529390538247	2410438	157	157	1	1.5813306339123063	0.0010252318416561	0.0454465122106438	0.6977650367765518	0.0	0.9881145820020814	0.988771840140215		False					1302	1230	1223	275	13393	13623	0.985902345696008	1498	28066
CAVCCX01.fasta	22.74851697028144	0.91393686849954	0.0025950640235006	2035529	107	106	23	15.693493038322856	0.0110579872686503	0.8841200493827404	0.9999999981104752	0.0026146148102345	0.9773845165620908	0.9783474805128992		False	8580.0	37.531002331002334	0.7049982388083423	0.9764006568748276	40700	38967	38800	8327	188720	192418	0.9720999559227792	47127	399238
CAVCNU01.fasta	1.679024051816539	0.6399586579481408	0.0036934290171085	3655358	252	240	1	2.126588770546701	0.0011200398425215	0.0823487056534544	0.7729484597592843	8.501426135949741e-05	0.9890569873826468	0.9902961324058016		False	298.0	26.58053691275168	0.6970638871092132	0.9987869912476944	3294	2921	2908	1435	25550	26000	0.9833668561432664	4343	55264
CAVCRQ01.fasta	1.2008453341485517	0.5630984485375201	0.0017159257210114	1465456	12	12	1	1.504354821941429	0.0012437123763833	0.0388220458341976	0.6536641915874011	0.0	0.9833368487660832	0.9838114321873024		False					948	921	920	103	7191	7348	0.9794287942232556	1023	15226
CAVDBL01.fasta	1.561083000461631	0.5385775688699785	0.0024459074258155	2995899	44	39	1	2.100907405514545	0.0012155761664975	0.0977075662430542	0.7480277431528404	0.0	0.9701081572276768	0.9710134530373528		False	35.0	26.285714285714285	0.4591783074732615	0.9507142857142858	8750	8485	8453	889	19157	19750	0.959887384606862	9342	42635
CAVDDQ01.fasta	5.0420931896509344	0.834617590352233	0.0017714611376235	1830890	23	20	5	3.893880756941725	0.0028813624773169	0.5188749733736052	0.988346728074897	0.0	0.9900852944674912	0.9902031888320352		False	87.0	16.448275862068964	0.6917975968410126	1.0	9419	9307	9294	1493	37742	38293	0.9855558424598356	10787	78109
CAVDEK01.fasta	8.616168651092362	0.9455545155230308	0.0016471056348842	2291595	18	17	8	5.091469945593193	0.0033660126508529	0.8027936873662231	0.9995035743921884	4.972987821133589e-06	0.9924073669413886	0.9924443299316512	2.118283252864722	False	156.0	8.653846153846153	0.884990474791087	1.0	13968	13900	13885	2763	80139	81459	0.987097561273186	16648	166450
CAVDFD01.fasta	4.806147612858896	0.810144738960202	0.00174624878281	1944397	267	254	5	4.085055480863371	0.0029706579867301	0.491367760801935	0.9856474599023876	9.93910388728377e-05	0.9836542064487228	0.9838321397844284		False	109.0	49.13761467889909	0.4694522927857724	0.833974159290407	15617	15447	15420	1529	38513	38997	0.979447427295557	16949	81969
CAVDFX01.fasta	1.132707347496387	0.4167887619537886	0.0015953729951323	2020280	449	426	0	1.9262908565510888	0.0013864024665344	0.0661091531866869	0.6321869873836901	0.0	0.9666065184674938	0.9670108341631788		False	47.0	19.74468085106383	0.9925700776764612	1.0	4460	4406	4400	197	9529	9871	0.960250650830284	4597	22604
CAVDJI01.fasta	1.3053240111045257	0.1953740751483095	0.0016920475556104	1110178	224	152	0	4.444223017467155	0.0043057041533375	0.0888560212866765	0.6841857648819725	6.993935531530537e-05	0.9535713561624394	0.9540782190864304		False	64.0	11.640625	0.8311821990311592	1.0	4580	4530	4515	229	6130	6991	0.9395503133362734	4744	17291
CAVEDZ01.fasta	7.202323345781553	0.9204700211523156	0.0017936767609351	2346788	40	38	7	4.273761230395967	0.00279456952957	0.7312986942152423	0.998270030523596	0.0	0.9872229567248164	0.9873517293700104		False	166.0	19.897590361445783	0.6868254773980188	0.968379464808036	21928	21707	21678	2914	68743	69854	0.984479390985676	24592	143234
CAVEKQ01.fasta	1.8444808480072965	0.7074386570608233	0.0022351506287103	2554695	271	257	1	2.006306961564529	0.0012687745880617	0.0921358518335848	0.8038109588254773	0.0002043579863383	0.9839153025546036	0.9846672812782788		False	682.0	56.848973607038126	0.1965093420759434	0.8815307893468478	3786	3609	3610	660	19129	19563	0.9808399457506964	4270	40667
CAVEVP01.fasta	1.994531369851888	0.0670261713014231	0.0090276345894215	775697	44	31	0	12.425186592653816	0.0141884411471115	0.0445032016367215	0.8281565170974212	0.0065511828891892	0.984878769444686	0.9904116334984502		False	3922.0	56.451300356960736	0.581225392044417	0.983501220674196	522	331	310	651	6432	6613	0.9760105686867768	961	14784
CAVEYQ01.fasta	0.8574075194723668	0.0430750700480256	0.0029831198271084	2743118	226	81	0	7.178169600573137	0.0043701809841433	0.0257367710758341	0.5309710754833252	0.001500283624662	0.9761752999334268	0.9767135511834444		False	420.0	43.75714285714286	0.8908019743463724	1.0	1682	1644	1636	332	9714	10129	0.9502698302663332	1968	22831
