genome name1 name2 coverage_overlap compared_bases_count consensus_SNPs population_SNPs popANI conANI percent_compared tid1 animal1 exhibit1 date1 tid2 animal2 exhibit2 date2 timediff dyad sample1 sample2
CAVAFE01.fasta NA000339 NA000382 0.6059764876296532 1492127 510 105 0.999929630654763 0.9996582060374217 0.474699281967098 T001099 Azibo Chimpanzee_A_Group 2025-03-18 T001184 Fraukje Chimpanzee_A_Group 2025-04-14 27 Azibo/Fraukje Azibo_18Mar25 Fraukje_14Apr25
CAVAFE01.fasta NA000339 NA000406 0.49599428869372325 1104045 383 109 0.999901272140175 0.9996530938503413 0.351236435477252 T001099 Azibo Chimpanzee_A_Group 2025-03-18 T001184 Fraukje Chimpanzee_A_Group 2025-04-14 27 Azibo/Fraukje Azibo_18Mar25 Fraukje_14Apr25
CAVAFE01.fasta NA000382 NA000406 0.5628622564594767 1358711 203 5 0.999996320041569 0.9998505936876937 0.432254852369 T001184 Fraukje Chimpanzee_A_Group 2025-04-14 T001184 Fraukje Chimpanzee_A_Group 2025-04-14 0 Fraukje/Fraukje Fraukje_14Apr25 Fraukje_14Apr25
CAVAFY01.fasta NA000338 NA000339 0.9092815131329177 1157551 177 34 0.999970627644052 0.9998470909705058 0.603963810726342 T001091 Riet Chimpanzee_A_Group 2025-03-11 T001099 Azibo Chimpanzee_A_Group 2025-03-18 7 Azibo/Riet Riet_11Mar25 Azibo_18Mar25
CAVAFY01.fasta NA000338 NA000377 0.7437435436215749 927034 40 3 0.999996763872738 0.9999568516365096 0.483689260613903 T001091 Riet Chimpanzee_A_Group 2025-03-11 T001167 Riet Chimpanzee_A_Group 2025-03-31 20 Riet/Riet Riet_11Mar25 Riet_31Mar25
CAVAFY01.fasta NA000338 NA000401 0.7512159756637967 936032 44 5 0.99999465830228 0.9999529930600664 0.488384057101414 T001091 Riet Chimpanzee_A_Group 2025-03-11 T001167 Riet Chimpanzee_A_Group 2025-03-31 20 Riet/Riet Riet_11Mar25 Riet_31Mar25
CAVAFY01.fasta NA000339 NA000377 0.7631965221102116 911605 112 25 0.99997257584151 0.9998771397699662 0.475639025561022 T001099 Azibo Chimpanzee_A_Group 2025-03-18 T001167 Riet Chimpanzee_A_Group 2025-03-31 13 Azibo/Riet Azibo_18Mar25 Riet_31Mar25
CAVAFY01.fasta NA000339 NA000401 0.7665869564720608 917533 119 28 0.999969483386429 0.9998703043923216 0.478732018845971 T001099 Azibo Chimpanzee_A_Group 2025-03-18 T001167 Riet Chimpanzee_A_Group 2025-03-31 13 Azibo/Riet Azibo_18Mar25 Riet_31Mar25
CAVAFY01.fasta NA000377 NA000401 0.7142620169973074 777505 34 1 0.999998713834638 0.9999562703776824 0.405671009449074 T001167 Riet Chimpanzee_A_Group 2025-03-31 T001167 Riet Chimpanzee_A_Group 2025-03-31 0 Riet/Riet Riet_31Mar25 Riet_31Mar25
CAVAZJ01.fasta NA000338 NA000376 0.91820657713304 1751761 960 29 0.999983445230257 0.9994519800360894 0.796817118257971 T001091 Riet Chimpanzee_A_Group 2025-03-11 T001166 Sandra Chimpanzee_A_Group 2025-03-31 20 Riet/Sandra Riet_11Mar25 Sandra_31Mar25
CAVAZJ01.fasta NA000338 NA000382 0.8253014966721642 1514197 841 19 0.999987452095071 0.999444590102873 0.688757250569493 T001091 Riet Chimpanzee_A_Group 2025-03-11 T001184 Fraukje Chimpanzee_A_Group 2025-04-14 34 Fraukje/Riet Riet_11Mar25 Fraukje_14Apr25
CAVAZJ01.fasta NA000338 NA000406 0.597588683304333 1059303 588 28 0.999973567525061 0.9994449180262871 0.481841280758062 T001091 Riet Chimpanzee_A_Group 2025-03-11 T001184 Fraukje Chimpanzee_A_Group 2025-04-14 34 Fraukje/Riet Riet_11Mar25 Fraukje_14Apr25
CAVAZJ01.fasta NA000376 NA000382 0.8280003495294882 1554078 906 23 0.999985200228045 0.9994170176786493 0.706897775157748 T001166 Sandra Chimpanzee_A_Group 2025-03-31 T001184 Fraukje Chimpanzee_A_Group 2025-04-14 14 Fraukje/Sandra Sandra_31Mar25 Fraukje_14Apr25
CAVAZJ01.fasta NA000376 NA000406 0.5950049046376441 1085504 623 21 0.999980654147751 0.9994260730499381 0.493759233786744 T001166 Sandra Chimpanzee_A_Group 2025-03-31 T001184 Fraukje Chimpanzee_A_Group 2025-04-14 14 Fraukje/Sandra Sandra_31Mar25 Fraukje_14Apr25
CAVAZJ01.fasta NA000382 NA000406 0.5863256184251338 973719 574 28 0.999971244270678 0.9994105075488925 0.442911999737997 T001184 Fraukje Chimpanzee_A_Group 2025-04-14 T001184 Fraukje Chimpanzee_A_Group 2025-04-14 0 Fraukje/Fraukje Fraukje_14Apr25 Fraukje_14Apr25
CAVBRB01.fasta NA000339 NA000379 0.6971885637591422 1495444 9014 1248 0.999165465239755 0.9939723587108578 0.566015897485781 T001099 Azibo Chimpanzee_A_Group 2025-03-18 T001169 Tai Chimpanzee_A_Group 2025-04-03 16 Azibo/Tai Azibo_18Mar25 Tai_03Apr25
CAVBRB01.fasta NA000339 NA000403 0.7098656696385511 1525893 9287 1268 0.999169011195411 0.9939137278957305 0.577540647367786 T001099 Azibo Chimpanzee_A_Group 2025-03-18 T001169 Tai Chimpanzee_A_Group 2025-04-03 16 Azibo/Tai Azibo_18Mar25 Tai_03Apr25
CAVBRB01.fasta NA000379 NA000403 0.6414179432798716 1273549 4848 183 0.999856307060035 0.9961933149019001 0.482030072825943 T001169 Tai Chimpanzee_A_Group 2025-04-03 T001169 Tai Chimpanzee_A_Group 2025-04-03 0 Tai/Tai Tai_03Apr25 Tai_03Apr25
