genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
CAVAFE01.fasta	12.948323698396262	0.9052031828880476	0.0011564772780252	3155876	222	210	13	7.369234891599861	0.0041777191586022	0.8687036499532935	0.999989171941956	0.0003614540255077	0.9884414527556054	0.9886256570713848		False	1693.0	43.11577082102776	0.6613272598372617	0.9770837844611074	31688	31183	31380	3543	154369	155317	0.9856425563514464	34923	326383
CAVAFO01.fasta	1.430042439957106	0.4890413562630142	0.011102408263951	3524980	367	327	0	3.5770203491539703	0.0019253624686169	0.0641002218452303	0.7171185785100769	0.0001242949609598	0.9794867936552896	0.9857049284803852		False	1783.0	45.964666292765	0.4274465041602154	0.9531848697034272	4635	3230	3188	4391	18933	19293	0.9683644551846258	7579	44086
CAVAIJ01.fasta	8.165496902457967	0.9169793848333992	0.0085062476514601	2496657	100	99	8	5.338543164863399	0.0033922661150727	0.7387274263144677	0.9992609417111856	3.033333738434869e-05	0.9897492285896	0.994540621108044		False	3534.0	31.43322014714205	0.4377893033727565	0.9586625497197104	18906	10069	9930	27748	76846	77464	0.982491073688077	37678	167144
CAVAJG01.fasta	1.5770924607757555	0.6689213566083547	0.0013825606263742	1929164	35	35	1	1.6930265651667782	0.0012211490222001	0.0625887690211925	0.751564653628649	0.0	0.9814897634665076	0.9819121447028424		False					2235	2184	2182	192	11442	11556	0.978137657859376	2374	24736
CAVAOT01.fasta	0.9058488755833052	0.4860619546817627	0.000901045476256	1990810	398	371	0	1.244300329048363	0.0009000593028195	0.0186944007715452	0.5506101733612199	0.0	0.9783969691270118	0.9786119246580864		False					804	796	794	25	6731	6831	0.9734524387421528	819	14743
CAVAUN01.fasta	7.308690216135933	0.8876845708240612	0.0038227221425927	1761993	192	188	7	4.935546612863391	0.0037593955503243	0.6939017351374268	0.9984251156860272	0.0	0.9848337627284997	0.9870576207418312	2.364658224104058	False	130.0	12.953846153846154	0.8887114331800388	1.0	18543	15824	15853	7263	48244	48701	0.9790968101580564	23116	105590
CAVAWQ01.fasta	0.9607210192420336	0.4640955781228879	0.0106177671735727	2419131	81	76	0	1.4511808850117305	0.000936161958773	0.0281262155707978	0.5718649774871694	0.0	0.9798797783689246	0.986802075219353		False	60.0	43.55	0.7612249429307085	0.9742690058479532	1369	898	889	1100	8656	8825	0.9721766859046432	1989	19989
CAVBCT01.fasta	1.1134086176818174	0.5472302988238383	0.0025353514008557	2132360	30	25	1	1.4147078555036354	0.0009701714054452	0.0298655011348927	0.6258654584202149	0.0	0.9884743420639408	0.9895107091263112		False					734	668	678	196	8844	8881	0.986239911756084	874	18836
CAVBCU01.fasta	2.180517256590124	0.7746539143364936	0.0131709061004723	2652378	51	51	2	2.0216151765462005	0.0012437054440636	0.1261437849356313	0.8541821060579804	0.0	0.9848556851704072	0.9920437801309698		False					5067	2662	2616	6504	21720	21985	0.9795858966913568	9120	47768
CAVBNI01.fasta	1.3858195198195815	0.6194741640185948	0.0070234304870022	2032611	25	25	1	1.7947722186758357	0.0012604253412797	0.0493242435468468	0.705853882262861	0.0	0.9831333472974456	0.9873126066010354		False	22.0	23.045454545454547	0.7765961069012269	1.0	1691	1272	1255	1077	10565	10648	0.9779448256988168	2332	22765
