genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	reads_unfiltered_reads	divergent_site_count
CAVACN01.fasta	0.9604766007928722	0.0290425866096201	0.0016203139253949	2279308	208	65	0	10.617896120760644	0.0070980141686666	0.017397824251922	0.5717725667766786	0.0008110986528583	0.9510780481654268	0.9520615307023074		False	77.0	22.428571428571427	0.6477534854352044	1.0	1940	1901	1894	102	8056	8681	0.94702903607515	22735	1996
CAVAEO01.fasta	1.524815987643586	0.4164608213458275	0.0006826624302483	2282863	473	410	0	3.0592861067695734	0.0020680947639981	0.117229549035575	0.739828049137147	5.1347632431831e-06	0.9553469671435884	0.9555861130936144		False					11950	11886	11883	177	12649	13949	0.9433575421953424	37639	12060
CAVAFY01.fasta	10.891626113858768	0.7090412341191455	0.0006325859338071	1938419	65	58	10	10.111051621960822	0.0072867490649654	0.6239265091809356	0.9999334332835632	2.0703310308610223e-05	0.956002450739232	0.9562075058436572		False	283.0	23.75618374558304	0.8435028788194495	0.9685503056374158	53212	52964	52926	928	76192	80222	0.9551961338563671	186451	53854
CAVAHH01.fasta	1.463599615946297	0.4383965959609814	0.0012062972060808	1983056	322	302	0	2.403400538883605	0.0017351127829161	0.1098864580727926	0.7253776673107053	0.0	0.9553762774710776	0.956027919655272		False	6.0	6.666666666666667	1.0	1.0	9724	9582	9565	347	10571	11869	0.940957827598741	31170	9912
CAVAHX01.fasta	1.156922429292361	0.0334709263001267	0.0015959269307484	2603573	53	31	0	22.089384380798435	0.0137178073345982	0.017383802950791	0.63996805129436	0.0007503116975503	0.9481661511268228	0.9487627043747238		False	93.0	110.21505376344086	0.3652682222679443	0.6973606870247813	2346	2319	2306	97	11137	12186	0.9424587192598344	34255	2403
CAVANT01.fasta	3.3338138643219217	0.6705437703433501	0.0047104093712203	2708809	84	79	2	3.657100003952341	0.0022289414639194	0.3187061177070808	0.9473325489930032	0.0	0.972232582814596	0.9744901623279596		False	138.0	31.1231884057971	0.9474392292786724	1.0	23972	22023	21871	6181	32674	33443	0.9647201627708754	74330	28052
CAVAOU01.fasta	8.69509643914842	0.8868384326555236	0.0007815171408667	2148194	401	391	9	5.9121603031939065	0.0041112290070958	0.7451929388127888	0.9995369938197838	2.4444591918109264e-06	0.965540139141277	0.9657668980690508		False	44.0	4.340909090909091	0.906738264710107	0.9840524606971977	55164	54801	54756	1227	67767	68594	0.9619354514377744	149179	55983
CAVATN01.fasta	1.9077892508125995	0.1179338809687203	0.0013306705382225	2631678	47	36	0	10.488181905519264	0.0064768065874485	0.0662987645145036	0.8144772769977244	0.0010678774057261	0.9549740080354432	0.9554955667509184		False	190.0	42.01052631578948	0.9049442668979694	0.9993393393393394	7856	7765	7738	327	18557	20227	0.9500792494355902	59938	8065
CAVAVU01.fasta	1.065047492989705	0.286265856141099	0.0041975365690875	2485630	154	142	0	2.412525901083231	0.0015397895293732	0.0816344347308327	0.6095428068438065	0.0	0.9670696308270048	0.9700807735334848		False	3.0	4.0	1.0	1.0	6682	6071	6034	1391	9633	10821	0.945711313002176	28430	7425
CAVAWT01.fasta	2.0637318076055946	0.6678389937626076	0.0032863380733731	1938310	109	95	1	2.268546263264929	0.0016386726637113	0.1385696818362387	0.8383424687620267	0.0	0.97217330439218	0.9739976395337148		False	331.0	58.74924471299094	0.1758576271214402	0.7331256717966967	7474	6984	6940	1269	14381	14742	0.9606841866262688	32444	8209
