genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	reads_unfiltered_reads	divergent_site_count
CAVABA01.fasta	3.9391900824611374	0.5084413926456088	0.0010863088957518	990891	18	17	1	6.13632870457641	0.0061757007879456	0.296826795278189	0.9691403212745684	0.001122926143631	0.9470697633303072	0.947277159555696		False	41.0	5.121951219512195	0.9106133164472336	0.9526701368806632	15568	15507	15492	304	15885	19408	0.9381618484415892	48906	15796
CAVAIJ01.fasta	1.4629302303039624	0.5813397675371507	0.0189258651016007	2496657	100	100	1	2.1465101322578737	0.0013639551769935	0.0676861098661129	0.7252152989883931	0.0	0.9790163856819084	0.9899934315251288		False	354.0	23.18361581920904	0.3678091963629726	0.9711041421483814	3546	1691	1620	4915	14847	15682	0.9723005349586872	36309	6535
CAVAJG01.fasta	3.376688036890591	0.8520799683178828	0.0027037766609464	1929164	35	35	3	2.805144699085737	0.0020232994430782	0.2932975112535793	0.9492891575680152	0.0004776514952651	0.9810593140209148	0.9821515360919304		False	101.0	29.712871287128717	0.9053907491444104	1.0	10717	10099	10077	1820	26069	26532	0.9776767352723597	55784	11897
CAVAOT01.fasta	2.9205639915411314	0.8026677583496165	0.0025603269486174	1990810	398	374	3	2.5248182444366183	0.0018263164412821	0.2396165379920735	0.9241394129785924	0.0	0.9788441422045948	0.980009684905174		False	6.0	70.66666666666667	0.1946490557945669	0.8872549019607843	10092	9536	9632	1362	23238	23774	0.9735207200971986	50592	10994
CAVAUN01.fasta	5.561848997129955	0.8401077643327755	0.0025492186797669	1761993	192	186	5	4.29344344658701	0.0032703069091883	0.5614795291468241	0.9926357102124624	0.0	0.9796355689698916	0.9805139474165668		False	251.0	30.250996015936256	0.6441108395920577	0.983213988411674	20147	19278	19279	2861	39276	39951	0.9737230653267348	86157	22140
CAVBBD01.fasta	4.125302698367774	0.1999165457312513	0.0022443851674943	2547503	81	71	0	13.513938581542432	0.0084939550752724	0.1569328868307515	0.9738169305857468	0.0019132500480763	0.979434048630896	0.9800368696330796		False	1358.0	44.78350515463917	0.7419775370968883	0.9815593689653636	8222	7981	7942	1308	43148	44268	0.973769314120191	103490	9250
CAVBCU01.fasta	1.02632015497037	0.5033494471753271	0.0180571979831694	2652378	51	51	1	1.5872637042915034	0.0009764907451696	0.0288676802476871	0.5959597175022779	0.0	0.977523247309581	0.9875274266011912		False	1107.0	32.160794941282745	0.2033615353212159	0.8856684933554312	1721	955	926	2225	10924	11213	0.9761653891843578	24745	3151
CAVBED01.fasta	2.1955345171374607	0.6106437139057371	0.0015278511325265	2204644	46	44	1	2.6175141522150165	0.0017665582220705	0.175779853799525	0.8561029230892294	0.0	0.9578357400163084	0.9582615113074532		False	149.0	32.25503355704698	0.4013829833770393	1.0	16340	16175	16159	683	19275	20672	0.9542393215703672	45698	16842
CAVBMP01.fasta	0.9908490550654688	0.3928139318733999	0.001318463388467	1226540	232	181	0	1.6672641861901878	0.0015347506995845	0.0491463792456829	0.5831045114703721	0.0	0.9722461844724618	0.9727106834771068		False					1673	1645	1643	70	4830	4943	0.9646295445400108	10649	1713
CAVBNI01.fasta	2.068403644376617	0.7237848265113197	0.0075337189244341	2032611	25	25	1	2.4042757713153184	0.0016884650197151	0.1118841726232909	0.8390079699446138	0.0	0.987054617728666	0.9907614646222578		False	375.0	31.642666666666667	0.2903663608367623	0.949738761086013	2944	2101	2079	2784	16681	16910	0.9805243364843748	35327	4863
CAVBNM01.fasta	0.897451931197114	0.3413097741510842	0.0040615590983753	3102428	141	136	0	3.721393093112314	0.0021224505518511	0.0254055855607285	0.5472657884883272	0.0006963140904037	0.981717606160951	0.984090130552278		False	300.0	39.84	0.658914843804449	0.9946390676074528	1441	1254	1238	586	11083	11273	0.988913405820132	24214	1824
CAVBQZ01.fasta	5.638761001757769	0.8638061124415759	0.0024999317992028	2228962	93	92	5	4.639501758475519	0.0031206117475385	0.584639397172316	0.9931192385999764	7.507252100881213e-05	0.9812207293312531	0.9820640775849698		False	52.0	32.67307692307692	0.8689442797427035	1.0	24472	23373	23379	3584	49940	50536	0.9782547665874076	105141	26963
CAVBRE01.fasta	1.4179628879623636	0.6291074379567587	0.003581617012004	2212328	151	141	1	1.6045280856704274	0.0010861937809895	0.0507863210156902	0.7140851472283962	0.0	0.982288440314714	0.9841218982519848		False					1990	1784	1777	518	12496	12644	0.9781061241537922	26138	2295
CAVBSP01.fasta	1.6942749090653724	0.5360969373504706	0.002337234808545	2506196	40	39	1	2.2697753050740843	0.0014360504559897	0.1165052533800229	0.7759855554716842	0.0	0.9811051937599534	0.9820709967977806		False	12.0	9.833333333333334	0.6505228929807224	1.0	5517	5235	5225	880	17109	17576	0.9755073017698148	38308	6105
CAVBVL01.fasta	8.17093393231218	0.7390641070181654	0.0013411509951173	2907170	96	83	8	7.256046437825447	0.0042697632010009	0.6169707997812306	0.9992644813506528	0.0001294820621795	0.9743019637730892	0.974444690375265		False	530.0	10.50377358490566	0.8562909514624802	0.9908873763980868	46093	45837	45765	2637	94455	95951	0.9727981299220304	205050	48402
CAVBVV01.fasta	2.512981263788371	0.8020416601632562	0.0025715050176793	2191158	96	94	2	2.324313978637558	0.0015771361362062	0.1667510969085752	0.8912781459587525	0.0	0.9888006393378912	0.9898817115425668		False	90.0	43.855555555555554	0.5830604743585176	1.0	4092	3697	3689	1063	21844	22044	0.9835935378853252	45595	4752
CAVBWP01.fasta	0.8342649605770257	0.4439950111609505	0.0145431902143338	2314767	45	44	0	1.2913186786306527	0.0008504050246543	0.0202262257929199	0.5212879258876473	0.0	0.9786838676605653	0.985241034622696		False	2.0	4.5	0.0375	1.0	998	691	682	931	7777	8000	0.9717308402397612	17621	1613
CAVBZD01.fasta	4.305080653391625	0.9102071905603878	0.0015497406694833	2410438	157	156	4	3.04638796363843	0.0019750796420309	0.4218092313513146	0.9776602174029692	0.0	0.986408588190746	0.9865266118840024		False	6.0	1.3333333333333333	1.0000000000000016	1.0	13819	13699	13697	1332	42094	42494	0.9830560816917998	87406	15029
CAVBZH01.fasta	1.1905633059346956	0.3221818364628107	0.0092495142141749	1989150	248	180	0	2.3237799261552143	0.0016685707179324	0.0962471407385063	0.6505054807573322	0.0	0.974144685296422	0.980036563071298		False	77.0	36.33766233766234	0.4573413499079037	0.9817351598173516	4950	3822	3768	2708	9572	10084	0.9589297790217848	23518	6476
CAVBZP01.fasta	4.3872736842412206	0.8808607361659071	0.0105686159751414	2743512	502	498	4	3.442646316598745	0.0021175550344226	0.4231087744467675	0.9792241217171548	0.0	0.98697368375712	0.9925947877505592		False	584.0	21.59075342465753	0.3850195449267814	0.9688233790849112	15121	8596	8509	19297	48249	48920	0.9807163859097536	105613	27806
CAVBZR01.fasta	9.774120139965	0.7686796884038761	0.0022412910698562	1097703	46	46	10	8.27186087445321	0.0079284557320093	0.6692693743207406	0.9998214332511648	0.0013019704993207	0.9848637258918764	0.9858505782955084		False	3062.0	48.243631613324624	0.4712073118200486	0.9543663102757922	11120	10395	10368	2695	42682	43149	0.980450228524029	91894	13063
CAVCAY01.fasta	3.04232343107129	0.76282706170606	0.0032551783259194	2511682	192	185	2	4.551253543876415	0.0028939718308934	0.2335204058475555	0.93187231334481	0.000182959817346	0.969565017245524	0.971442162280126		False	663.0	47.22473604826546	0.604465192519133	0.9831858682667244	17851	16750	16688	2805	30433	31279	0.9643820726927445	67177	19493
CAVCBQ01.fasta	1.4009663398203005	0.5820820876095514	0.0012593858989031	1267670	90	84	1	1.7301352408921464	0.001547684930613	0.0599706548234161	0.7097617896160524	0.0	0.9906475671836156	0.9911211080857107		False					711	675	675	107	7042	7115	0.9860374671897502	14942	782
CAVCJJ01.fasta	3.748906463367436	0.6034999663277535	0.0075611899045198	2464938	83	79	1	5.310168763626219	0.0033936943530995	0.2948309450379685	0.963494210230582	0.0	0.9773068772876132	0.9816715744282688		False	2053.0	30.44812469556746	0.5568095206248831	0.9647364085278978	16492	13320	13192	8860	37421	38049	0.970404512299448	86992	22052
CAVCJM01.fasta	7.062319014684767	0.9264772005697712	0.012471987851314	1748070	69	69	7	4.421563108163344	0.0033575121845704	0.7011898837003094	0.9980423836424822	0.0007251303322487	0.9840013575594604	0.9914663029103497	2.005260978585096	False	1060.0	29.081132075471697	0.5107203175230014	0.966878361575756	19610	10460	10254	25496	49357	50162	0.9797146070068756	104943	35750
