genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	reads_unfiltered_reads	divergent_site_count
CAVAAA01.fasta	1.030503947475618	0.3658376041499317	0.0253455920595246	2626742	36	35	0	2.092106248860441	0.0012926207896317	0.0626768826173259	0.5974496052531673	6.752942601590813e-05	0.966307490463811	0.9799193372044996		False	278.0	42.0431654676259	0.3257812817360452	0.9400573135939604	5547	3306	3103	6319	10728	12294	0.9522987937835442	31568	9422
CAVAEO01.fasta	1.1729297815944275	0.3876487550939325	0.0008689520919521	2282863	473	415	0	2.2902695622397578	0.0015482352171414	0.0774825296130341	0.645021124584068	3.0260167711200384e-06	0.9556314379077576	0.9558971517734988		False					7848	7801	7795	130	10421	11526	0.9441363499714416	28827	7925
CAVAHC01.fasta	3.098753647244482	0.5728979028735786	0.0067888993288755	3032769	258	253	1	4.438550987877136	0.0025706798167904	0.2639267942926085	0.9351837846805712	0.0	0.9742250718052444	0.9783803435407764		False	997.0	29.5777331995988	0.5035460147850934	0.9810341654251584	20631	17305	17099	9116	36901	37727	0.9696527417292354	85691	26215
CAVAHH01.fasta	0.8510263956237242	0.3470567649123373	0.0012901528303663	1983056	322	301	0	1.6043525790087945	0.0011582475010327	0.0420129335732323	0.5283208574731454	0.0	0.9560578054108552	0.9567899752742636		False					3661	3600	3599	140	6585	7472	0.9415181105819824	17873	3739
CAVANT01.fasta	3.818393249579428	0.7161328096591528	0.0056321646839258	2708809	84	79	3	3.817413075439151	0.0023266496074919	0.3763938321232689	0.9656667579917708	0.0	0.97243470098933	0.9761450559495636		False	14.0	15.0	1.0000000000000004	1.0	28105	24322	24147	8755	40364	40962	0.966041420384675	86309	32902
CAVAOU01.fasta	4.348860019160281	0.8563570143106256	0.0012449749572749	2148194	401	393	4	3.262347728181081	0.0022685884555744	0.4442513106358178	0.9785073313907374	0.0	0.9666197929873902	0.967085036957556		False	6.0	18.666666666666668	1.0000000000000002	1.0000000000000002	31856	31412	31367	1186	36444	37069	0.9620394546405248	78164	32553
CAVAPB01.fasta	1.1419018788877393	0.347400339758082	0.0006012895439639	1957275	38	36	0	2.078516684540659	0.0014885811490562	0.0858290224930068	0.635161087727865	0.0	0.9730283169931724	0.9730699858921014		False					4531	4524	4523	37	8665	8852	0.9661691684587468	19773	4560
CAVAZJ01.fasta	24.58459376796722	0.9041273662147116	0.0013409860286942	2198448	84	84	25	18.875508875780508	0.0127792812482115	0.8516598982554966	0.9999999996265349	0.0017299606644922	0.9968830280986792	0.997629157253262		False	5708.0	76.09250175192712	0.6510273514116088	0.979517450671877	5836	4439	4422	4105	207820	208589	0.9938537050007122	432617	8527
CAVBED01.fasta	1.069682905720833	0.4671407265753564	0.0005855114514984	2204644	46	41	0	1.5297266994011078	0.0010324113342657	0.0399982945092268	0.6111377090000778	0.0	0.95959492867025	0.9596289492186614		False					3563	3560	3559	23	9233	9764	0.9531874952474606	21182	3582
CAVBIJ01.fasta	1.1372458202919369	0.4151897752731042	0.000585817400543	1470318	245	217	0	1.8734889286228364	0.0015714684119582	0.066953543383132	0.6336580379757804	0.0	0.9575693548550938	0.9577115691313756		False					4177	4163	4168	32	6539	7754	0.9388301419167888	19203	4200
CAVBQR01.fasta	23.04195809729666	0.3176704089619134	0.0021119388176494	2653719	35	30	0	47.78332053669556	0.0293712541172818	0.2720924860544768	0.9999999985417796	0.001625558832135	0.9873057113219592	0.988428891347913		False	6875.0	71.208	0.8326506726327275	0.9899417167223632	9166	8355	8287	2769	239719	240476	0.983607018479847	504027	11056
CAVBRB01.fasta	3.5133140781051706	0.7534091859625829	0.002825189022027	2642053	111	109	3	3.198432190802848	0.0019760538195272	0.3429900914175454	0.9550523289296262	0.0	0.9696655697761416	0.9713109055636848		False	222.0	47.009009009009006	0.1941600830128668	0.9028071823934836	27489	25998	25908	3524	36306	37148	0.964350805103183	78957	29432
CAVBRO01.fasta	23.77013473407241	0.8829559554899629	0.0035648066570212	2902087	116	103	25	13.103076561362208	0.0077225556172869	0.857316131459877	0.9999999992333792	0.0032908547110056	0.9852415950765392	0.9886093522282504		False	19929.0	38.98108284409654	0.7628029669681179	0.99220879216237	36719	28340	28101	20094	267219	269007	0.9815645446636052	552294	48195
