genome name1 name2 coverage_overlap compared_bases_count consensus_SNPs population_SNPs popANI conANI percent_compared tid1 animal1 exhibit1 date1 tid2 animal2 exhibit2 date2 timediff dyad sample1 sample2
CAVABA01.fasta NA000348 NA000355 0.6814265079265777 272418 23 6 0.999977975023677 0.9999155709240946 0.27647527465557 T001066 Padana Orangutan 2025-02-21 T001074 Pini Orangutan 2025-02-27 6 Padana/Pini Padana_21Feb25 Pini_27Feb25
CAVABA01.fasta NA000348 NA000369 0.7066223259696384 279370 12 0 1 0.9999570462111179 0.283530814705808 T001066 Padana Orangutan 2025-02-21 T001098 Padana Orangutan 2025-03-15 22 Padana/Padana Padana_21Feb25 Padana_15Mar25
CAVAFE01.fasta NA000332 NA000333 0.9167343864688883 2554919 4367 3723 0.998542810946257 0.9982907481607048 0.812811653957134 T001080 Dokana Orangutan 2025-03-02 T001081 Sari Orangutan 2025-03-04 2 Dokana/Sari Dokana_02Mar25 Sari_04Mar25
CAVAFE01.fasta NA000332 NA000344 0.968874599296248 2733844 304 6 0.999997805288085 0.9998888012629835 0.869734133763453 T001080 Dokana Orangutan 2025-03-02 T001062 Dokana Orangutan 2025-02-21 9 Dokana/Dokana Dokana_02Mar25 Dokana_21Feb25
CAVAFE01.fasta NA000332 NA000345 0.9189946917945604 2560160 959 288 0.999887507030811 0.9996254140366228 0.814479004616153 T001080 Dokana Orangutan 2025-03-02 T001063 Raja Orangutan 2025-02-21 9 Dokana/Raja Dokana_02Mar25 Raja_21Feb25
CAVAFE01.fasta NA000332 NA000355 0.9619305721369139 2730585 5041 4260 0.998439894747829 0.9981538754515974 0.868697328612195 T001080 Dokana Orangutan 2025-03-02 T001074 Pini Orangutan 2025-02-27 3 Dokana/Pini Dokana_02Mar25 Pini_27Feb25
CAVAFE01.fasta NA000332 NA000371 0.8181226659063506 2263318 4000 3374 0.998509268251302 0.9982326831669257 0.720042884729791 T001080 Dokana Orangutan 2025-03-02 T001160 Pini Orangutan 2025-03-29 27 Dokana/Pini Dokana_02Mar25 Pini_29Mar25
CAVAFE01.fasta NA000332 NA000373 0.7495162087982498 2065198 3503 2976 0.998558975943227 0.9983037945998399 0.657013784831913 T001080 Dokana Orangutan 2025-03-02 T001163 Lursa Orangutan 2025-03-30 28 Dokana/Lursa Dokana_02Mar25 Lursa_30Mar25
CAVAFE01.fasta NA000332 NA000381 0.8239710537382391 2283279 3918 3358 0.998529308069666 0.9982840467590689 0.726393196980253 T001080 Dokana Orangutan 2025-03-02 T001183 Pini Orangutan 2025-04-13 42 Dokana/Pini Dokana_02Mar25 Pini_13Apr25
CAVAFE01.fasta NA000332 NA000391 0.9596952433496364 2696570 4811 4109 0.998476212373497 0.9982158816570681 0.857875933331425 T001080 Dokana Orangutan 2025-03-02 T001074 Pini Orangutan 2025-02-27 3 Dokana/Pini Dokana_02Mar25 Pini_27Feb25
