genome	name1	name2	coverage_overlap	compared_bases_count	consensus_SNPs	population_SNPs	popANI	conANI	percent_compared
AmatoKR_2018__qiita_sid_11212_11212.JB17__bin.20.fa	LYK_28Jul23.sorted.bam	WEH_27Jul23.sorted.bam	0.7862721304916624	1378702	30937	30562	0.9778327731445954	0.9775607781812168	0.6348301957163873
AmatoKR_2018__qiita_sid_11212_11212.JB17__bin.20.fa	LYK_28Jul23.sorted.bam	WOD_05Aug23.sorted.bam	0.693769084497181	1219976	433	29	0.9999762290405713	0.9996450749850817	0.5617440192654362
AmatoKR_2018__qiita_sid_11212_11212.JB17__bin.20.fa	WEH_27Jul23.sorted.bam	WOD_05Aug23.sorted.bam	0.6274093590289179	1019617	22936	22258	0.9781702345096247	0.9775052789429757	0.46948772081693924
GUT_GENOME000245.fa	BAI_01Aug23.sorted.bam	KIC_10Aug23.sorted.bam	0.8697506837030939	2009090	8532	351	0.9998252940385945	0.9957533012458377	0.6395776748047609
GUT_GENOME000245.fa	BAI_01Aug23.sorted.bam	KOK_27Jul23.sorted.bam	0.6932600150040772	1533172	31119	1278	0.9991664340334939	0.97970286438834	0.4880729996345434
GUT_GENOME000245.fa	BAI_01Aug23.sorted.bam	LEC_27Jul23.sorted.bam	0.8097375218193547	1867631	30530	1114	0.9994035224302874	0.9836530877887548	0.5945453376271299
GUT_GENOME000245.fa	BAI_01Aug23.sorted.bam	LOP_29Jul23.sorted.bam	0.8633937357670416	2155179	41467	879	0.9995921452464042	0.9807593707993628	0.6860839353180045
GUT_GENOME000245.fa	BAI_01Aug23.sorted.bam	NAJ_27Jul23.sorted.bam	0.8755580705025459	2157421	18389	349	0.9998382327788595	0.9914763970499962	0.6867976580217721
GUT_GENOME000245.fa	BAI_01Aug23.sorted.bam	NAR_27Jul23.sorted.bam	0.8212047149859452	1873574	12841	395	0.9997891729923665	0.9931462541645005	0.5964372439734681
GUT_GENOME000245.fa	BAI_01Aug23.sorted.bam	NGI_29Jul23.sorted.bam	0.8788560162332024	2036800	11843	319	0.9998433817753338	0.9941854870384917	0.6483989308803174
GUT_GENOME000245.fa	BAI_01Aug23.sorted.bam	NIT_02Aug23.sorted.bam	0.7267337683746106	1601657	13204	241	0.9998495308296346	0.9917560376535051	0.5098746496646586
GUT_GENOME000245.fa	BAI_01Aug23.sorted.bam	NOI_29Jul23.sorted.bam	0.8849549094584509	2124820	10292	604	0.9997157406274414	0.9951562955920972	0.6764193913556147
GUT_GENOME000245.fa	BAI_01Aug23.sorted.bam	SAI_27Jul23.sorted.bam	0.8697306562099227	2010199	9131	297	0.9998522534336153	0.9954576636442461	0.639930716052967
GUT_GENOME000245.fa	BAI_01Aug23.sorted.bam	WEF_07Aug23.sorted.bam	0.7433078528383845	1674396	7874	263	0.9998429284350895	0.9952974087372402	0.5330305264484878
GUT_GENOME000245.fa	BAI_01Aug23.sorted.bam	WEH_27Jul23.sorted.bam	0.8649958467032168	2051770	9261	664	0.9996763769818254	0.9954863361877794	0.6531645102181407
GUT_GENOME000245.fa	BAI_01Aug23.sorted.bam	WIE_12Aug23.sorted.bam	0.8752195788944271	2112505	10103	671	0.999682367615698	0.9952175261123642	0.6724990099564635
GUT_GENOME000245.fa	BAI_01Aug23.sorted.bam	WOD_05Aug23.sorted.bam	0.8416486550614346	2031224	32763	783	0.9996145181427553	0.9838703166169758	0.6466238560381196
